@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
-0.916, 0.397, 1.0
1.79, -0.459, -1.0
-1.69, -0.0461, 1.0
1.74, 0.964, 1.0
1.18, -0.335, 1.0
-0.223, -1.28, -1.0
1.22, 1.13, -1.0
-1.69, -1.87, 1.0
0.98, -0.0439, 1.0
1.27, 0.589, -1.0
-0.0418, -1.02, -1.0
1.49, 1.55, 1.0
-0.202, 0.712, 1.0
1.15, 0.243, -1.0
-0.447, -1.0, -1.0
-1.07, 0.707, -1.0
-0.723, 0.633, -1.0
1.15, 0.715, -1.0
-0.914, 1.07, -1.0
0.586, 1.15, -1.0
0.68, 0.702, -1.0
0.867, 0.81, -1.0
0.0431, -0.0199, 1.0
1.15, 0.634, -1.0
0.298, -0.829, 1.0
-0.769, 1.35, -1.0
0.763, 1.15, -1.0
-1.2, -0.451, 1.0
1.34, -0.261, -1.0
-0.648, -0.631, -1.0
-0.941, 0.976, -1.0
-0.654, -0.999, -1.0
1.45, 0.398, -1.0
-0.259, 0.496, 1.0
-1.4, -0.37, 1.0
1.8, -0.811, -1.0
-1.33, 0.0398, 1.0
-0.739, 0.578, 1.0
0.422, -0.934, 1.0
0.952, 0.427, -1.0
-0.856, -1.31, -1.0
-0.875, 0.591, 1.0
-0.864, -1.56, -1.0
0.373, 1.48, -1.0
0.333, -0.845, 1.0
-1.57, -1.74, 1.0
-1.01, -1.27, 1.0
-0.192, 1.66, -1.0
-0.8, -0.282, 1.0
-0.457, -0.322, 1.0
1.01, -1.05, 1.0
2.34, -1.25, -1.0
1.02, 0.997, -1.0
0.775, 0.0171, 1.0
0.726, 0.289, -1.0
-0.978, 0.931, -1.0
-0.31, -1.38, -1.0
0.24, -1.14, -1.0
0.502, -0.536, 1.0
0.152, 1.53, -1.0
1.04, 0.816, -1.0
0.379, -0.755, -1.0
0.377, 0.198, 1.0
1.32, 1.36, 1.0
0.802, 0.133, -1.0
1.29, 0.153, -1.0
-0.853, -1.17, -1.0
0.378, -0.56, 1.0
1.59, -0.522, -1.0
0.415, 1.8, -1.0
0.165, -0.405, 1.0
0.313, 0.189, 1.0
-0.451, 0.775, 1.0
-0.828, -0.839, -1.0
0.216, -1.12, -1.0
0.301, 2.01, -1.0
0.016, -1.13, -1.0
1.05, -2.08, 1.0
0.659, 1.07, -1.0
0.258, 0.309, 1.0
1.37, 0.625, -1.0
0.512, -1.34, -1.0
-0.138, -0.951, -1.0
-0.801, -0.24, 1.0
-0.639, -1.37, -1.0
-0.547, -1.31, -1.0
-0.103, -1.71, -1.0
0.839, -0.0819, 1.0
1.31, -0.238, -1.0
-0.812, -0.411, 1.0
1.76, 1.33, 1.0
0.713, 2.04, 1.0
0.395, 0.423, 1.0
-0.947, 0.445, 1.0
-0.322, -0.356, 1.0
-0.339, 0.806, 1.0
-0.111, -1.33, -1.0
-0.824, 0.858, -1.0
-0.795, 1.17, -1.0
0.604, -0.709, 1.0
0.686, -0.19, 1.0
-1.59, 0.763, -1.0
-0.639, 1.28, -1.0
-1.14, 0.693, -1.0
-2.11, -1.45, 1.0
-1.28, 0.213, 1.0
-0.236, -1.17, -1.0
0.725, 1.39, -1.0
-0.0767, 1.68E-4, 1.0
0.785, 0.173, -1.0
-0.167, 1.07, -1.0
-0.975, -0.182, 1.0
0.616, -1.07, 1.0
0.526, 1.36, 1.0
-0.0339, -1.66, -1.0
0.275, -0.202, 1.0
-1.83, 0.601, -1.0
-0.5, -0.0595, 1.0
-0.116, -1.36, -1.0
-0.696, -1.2, -1.0
-0.631, -0.914, -1.0
-0.468, 0.245, 1.0
1.44, -1.52, 1.0
-0.798, -1.21, -1.0
1.11, 0.0482, -1.0
0.0188, 0.0512, 1.0
-1.43, -1.18, 1.0
-1.32, 1.12, -1.0
-1.01, -1.29, -1.0
-0.617, -0.458, 1.0
0.12, -1.12, -1.0
-0.755, -1.09, -1.0
1.46, -0.509, 1.0
-1.07, -0.616, 1.0
-0.882, 1.29, -1.0
1.29, -1.04, 1.0
1.12, 0.173, -1.0
0.433, 1.65, 1.0
0.69, 0.745, -1.0
-0.19, 0.168, 1.0
0.136, -1.36, -1.0
-1.03, 0.153, 1.0
1.23, -0.115, -1.0
0.265, 1.4, -1.0
0.662, 1.49, -1.0
-0.689, -1.45, -1.0
-0.479, 0.0719, 1.0
