@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
1.14, -0.114, -1.0
-1.25, -0.286, 1.0
-1.02, 0.619, -1.0
-0.768, -1.04, -1.0
0.724, 0.989, -1.0
1.3, 0.196, -1.0
-0.522, -1.34, -1.0
0.00665, 0.0118, 1.0
-0.149, -1.2, -1.0
-1.62, 0.593, -1.0
0.812, 0.708, -1.0
0.0238, 0.0836, 1.0
-0.519, -0.799, -1.0
1.36, -0.732, 1.0
-0.0868, -1.33, -1.0
0.615, -0.0228, 1.0
-0.795, -1.43, -1.0
0.744, 1.42, 1.0
-1.62, 0.102, -1.0
1.07, -0.985, 1.0
-1.7, 0.872, -1.0
-0.52, -1.17, -1.0
-1.33, 1.08, -1.0
-0.412, 0.492, 1.0
0.683, 1.07, -1.0
0.312, -1.23, -1.0
0.291, -0.795, -1.0
0.535, 0.504, 1.0
1.14, -0.209, 1.0
0.143, 0.263, 1.0
1.9, -0.0565, -1.0
0.36, -0.715, 1.0
0.909, 0.118, -1.0
-0.187, -1.38, -1.0
0.529, 1.62, -1.0
0.163, -1.31, -1.0
-1.06, -1.07, -1.0
-0.579, -0.748, 1.0
0.207, 0.0304, 1.0
-0.207, -0.745, -1.0
-0.717, 1.0, -1.0
0.661, 1.69, -1.0
-0.109, -1.25, -1.0
0.287, -0.517, 1.0
1.71, 0.0217, -1.0
0.328, 1.71, 1.0
-0.456, 1.55, -1.0
0.99, -0.0762, 1.0
-0.48, -0.913, -1.0
-0.533, -0.402, 1.0
-1.52, 0.934, -1.0
2.16, 1.16, 1.0
-0.472, 0.411, 1.0
1.66, 0.672, -1.0
-0.994, 1.14, -1.0
0.149, 1.98, -1.0
-1.76, -0.903, 1.0
0.307, -0.678, -1.0
0.234, 0.958, -1.0
1.27, -0.441, -1.0
-0.0765, -1.12, -1.0
1.11, -0.106, -1.0
1.15, -1.52, 1.0
0.469, -0.321, 1.0
-0.937, -0.086, 1.0
-1.16, 0.381, -1.0
-0.151, 1.66, -1.0
0.341, -1.32, -1.0
1.01, -0.94, 1.0
-0.329, -0.858, -1.0
-0.264, -0.768, 1.0
-0.466, 0.145, 1.0
0.118, 0.13, 1.0
2.46, 1.23, 1.0
-1.97, -0.674, 1.0
-1.59, 0.138, -1.0
-1.42, -1.51, 1.0
-0.885, 1.05, -1.0
1.08, 1.42, 1.0
0.0176, 0.0932, 1.0
-1.86, -0.977, 1.0
-0.233, 0.593, 1.0
-0.415, 1.48, -1.0
-1.13, -1.08, 1.0
0.156, 0.152, 1.0
2.06, 1.12, 1.0
-0.0227, 0.163, 1.0
-0.178, -0.238, 1.0
1.45, 0.273, -1.0
0.144, 1.56, -1.0
-0.558, -1.67, -1.0
1.8, -1.0, -1.0
1.3, 0.648, -1.0
0.896, 0.36, 1.0
-1.26, -1.01, 1.0
-0.786, -1.02, -1.0
-0.709, -0.262, 1.0
0.433, 0.38, 1.0
1.16, 1.48, 1.0
-1.63, -1.16, 1.0
-0.477, 0.676, 1.0
1.36, 0.482, -1.0
1.37, 0.428, -1.0
-0.32, 0.707, 1.0
-0.804, 0.396, 1.0
-0.27, 0.0117, 1.0
0.112, 0.238, 1.0
0.923, 0.246, -1.0
0.073, -0.00169, 1.0
0.0967, -1.4, -1.0
0.375, 1.24, -1.0
1.23, -0.00847, -1.0
1.22, -0.0466, -1.0
0.782, 1.8, -1.0
1.57, 1.43, 1.0
0.314, 1.84, -1.0
1.68, -0.293, -1.0
0.535, 1.4, -1.0
-0.599, -0.965, -1.0
0.657, 1.05, -1.0
-0.112, 1.85, 1.0
0.74, 1.53, 1.0
0.52, 1.25, -1.0
1.1, 0.253, -1.0
0.611, 0.649, -1.0
2.01, -0.695, -1.0
-0.239, -0.848, -1.0
-0.889, -0.884, -1.0
1.67, -0.978, -1.0
