@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
-1.52, -1.15, 1.0
-0.122, -0.808, -1.0
1.16, -0.458, 1.0
1.13, 1.48, -1.0
-0.352, -0.49, 1.0
-0.0701, -1.23, -1.0
1.33, 1.51, 1.0
-1.67, -1.26, 1.0
-0.838, 0.356, 1.0
2.07, 1.02, 1.0
-1.79, -0.98, 1.0
0.357, -1.07, -1.0
-1.08, 0.114, 1.0
-1.26, 0.23, 1.0
-0.634, -0.969, -1.0
-1.21, 1.27, -1.0
2.35, 1.21, 1.0
1.86, 1.14, 1.0
-0.0347, 1.3, -1.0
-0.478, -0.796, -1.0
2.06, -0.482, -1.0
0.303, -0.143, 1.0
0.579, -1.02, 1.0
1.19, 0.697, -1.0
-0.531, -1.27, -1.0
1.05, 0.701, -1.0
-0.574, 1.32, -1.0
-1.25, 0.985, -1.0
-1.03, 1.18, -1.0
-0.956, -0.818, 1.0
-1.02, -0.296, 1.0
-0.869, -0.0393, 1.0
-0.509, -1.41, -1.0
0.498, 0.567, -1.0
0.404, -0.868, -1.0
0.262, -0.673, -1.0
-0.392, -1.27, -1.0
0.0788, -0.0998, 1.0
-0.496, -1.09, -1.0
-0.983, 1.06, -1.0
0.553, 1.54, -1.0
-1.06, 0.496, 1.0
-0.201, 0.0726, 1.0
1.09, -1.59, 1.0
-0.581, -1.27, -1.0
-0.0537, -1.52, -1.0
-1.24, -0.919, 1.0
-1.86, -1.47, 1.0
-1.69, -0.542, 1.0
0.571, 0.197, 1.0
-0.672, 0.683, 1.0
0.416, 1.86, 1.0
0.088, -1.25, -1.0
0.844, 0.243, -1.0
-0.779, -1.14, -1.0
0.652, -0.646, 1.0
2.21, 1.02, 1.0
0.851, 1.46, -1.0
-0.817, -1.19, -1.0
0.899, -0.235, 1.0
1.07, 0.0877, -1.0
0.576, 1.7, 1.0
-1.2, 0.932, -1.0
0.552, -1.07, 1.0
-0.0723, -1.08, -1.0
-0.0238, 4.07E-4, 1.0
1.57, -0.114, -1.0
0.792, 0.988, -1.0
0.781, 0.415, -1.0
