@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
1.83, 0.452, -1.0
-1.01, -1.36, -1.0
-0.75, -0.881, -1.0
0.536, 0.921, -1.0
-0.508, -0.715, 1.0
1.23, -1.2, 1.0
-1.99, 0.549, -1.0
-1.03, 0.654, -1.0
0.431, -1.33, -1.0
1.01, 0.48, -1.0
-0.0303, 2.11, -1.0
0.926, 0.972, -1.0
1.02, -0.261, 1.0
-1.74, 0.693, -1.0
0.917, 0.525, -1.0
-0.0625, -0.12, 1.0
0.976, -1.39, 1.0
-0.877, -0.401, 1.0
0.471, 1.39, -1.0
1.42, -0.32, 1.0
2.07, 1.21, 1.0
-1.19, 0.309, -1.0
1.23, -0.0582, 1.0
0.139, -1.01, -1.0
-0.595, 1.46, -1.0
-0.467, -1.51, -1.0
0.07, 1.7, -1.0
-0.23, 1.08, -1.0
-2.34, 0.246, -1.0
-0.0263, -1.35, -1.0
1.63, -0.251, -1.0
-1.13, 0.6, -1.0
-0.208, 0.332, 1.0
0.354, -1.19, -1.0
0.866, -0.917, 1.0
0.975, 1.48, -1.0
0.939, -0.351, 1.0
1.37, -0.331, 1.0
-0.724, -1.26, -1.0
-0.322, -1.12, -1.0
0.165, -1.58, -1.0
-0.66, 0.965, -1.0
-0.0508, -1.19, -1.0
0.263, -1.48, -1.0
-1.46, 0.0829, 1.0
-0.488, -0.566, 1.0
0.529, 0.788, 1.0
-2.07, 0.0318, -1.0
-1.23, -0.308, 1.0
-0.37, 1.48, -1.0
0.52, 1.21, -1.0
0.183, -1.21, -1.0
-0.946, 1.02, -1.0
-2.08, -1.78, 1.0
-0.215, -1.01, -1.0
-1.12, 0.154, 1.0
-0.0874, -0.948, -1.0
-1.67, -1.73, 1.0
0.13, 1.38, -1.0
1.57, -0.389, -1.0
-0.411, 0.727, 1.0
1.4, 0.377, -1.0
-0.0246, -0.141, 1.0
-0.477, -1.25, -1.0
-0.198, 1.67, 1.0
-1.31, 0.916, -1.0
-0.623, -0.737, 1.0
-1.3, -1.17, 1.0
-1.14, 0.488, -1.0
1.38, 0.877, -1.0
1.21, -1.02, 1.0
-1.35, -1.19, 1.0
-1.11, 0.439, 1.0
-0.145, 1.67, -1.0
-0.108, -1.3, -1.0
0.179, 1.81, -1.0
1.12, 0.862, -1.0
0.143, 0.337, 1.0
-0.61, -0.306, 1.0
-0.397, 1.32, -1.0
-0.433, -1.13, -1.0
0.0991, -1.05, -1.0
0.796, 0.429, 1.0
-1.97, -0.271, 1.0
-1.01, 1.07, -1.0
-0.618, -1.2, -1.0
-0.012, 1.42, -1.0
-1.45, -0.203, 1.0
0.659, -0.057, 1.0
1.51, -1.15, 1.0
1.24, -0.145, -1.0
-0.776, -1.26, -1.0
0.143, 1.05, -1.0
0.903, -1.17, 1.0
1.57, -0.0908, -1.0
-0.323, -0.264, 1.0
-0.302, -1.22, -1.0
0.874, -1.41, 1.0
-0.716, -0.194, 1.0
1.57, -0.566, -1.0
0.374, -1.39, -1.0
0.146, -0.151, 1.0
-1.19, -0.529, 1.0
-0.699, -5.78E-4, 1.0
0.522, 1.36, 1.0
1.16, 1.05, -1.0
-1.94, -1.03, 1.0
1.32, 0.0928, -1.0
-0.347, 0.574, 1.0
0.933, 1.21, -1.0
-0.54, -0.601, 1.0
0.656, 0.844, -1.0
0.127, 1.22, -1.0
0.16, -1.4, -1.0
0.517, -0.931, -1.0
1.76, 1.48, 1.0
0.0386, -1.26, -1.0
-1.63, 0.101, -1.0
0.237, 0.0367, 1.0
1.78, 1.35, 1.0
-1.12, -1.39, -1.0
0.0496, -1.05, -1.0
2.71, 1.35, 1.0
-0.852, -0.59, 1.0
1.0, 1.69, 1.0
-0.791, -1.43, -1.0
-1.6, 0.682, -1.0
-0.421, -0.731, -1.0
-1.41, -1.02, 1.0
-0.155, -1.03, -1.0
-1.8, 0.529, -1.0
-0.628, 0.601, 1.0
1.51, 1.59, 1.0
-0.744, 0.196, 1.0
-0.861, -0.862, -1.0
-1.25, -0.897, 1.0
0.768, -0.917, 1.0
-1.27, -0.704, 1.0
-1.62, -1.16, 1.0
-0.747, 0.468, 1.0
1.19, -0.966, 1.0
0.899, 0.538, -1.0
0.904, 0.195, -1.0
-0.752, -0.319, 1.0
-0.538, -1.15, -1.0
0.137, 1.69, -1.0
2.21, 1.21, 1.0
0.614, -0.157, 1.0
1.61, 1.4, 1.0
0.908, 1.48, 1.0
-1.44, -0.43, 1.0
-0.338, -0.91, -1.0
-2.01, -1.85, 1.0
0.287, 1.45, 1.0
0.354, 1.06, -1.0
1.44, -1.73, 1.0
-0.486, -1.62, -1.0
-0.414, -1.28, -1.0
-1.18, -0.522, 1.0
-0.638, 1.32, -1.0
0.471, 2.03, -1.0
-0.862, 1.53, -1.0
0.413, 0.473, 1.0
-0.834, 1.48, -1.0
1.01, 1.82, 1.0
0.0543, -0.967, -1.0
-0.612, -1.42, -1.0
0.44, 0.246, 1.0
-0.554, -0.38, 1.0
1.77, 0.239, -1.0
-1.53, 0.658, -1.0
0.913, -1.6, 1.0
-1.1, 0.145, 1.0
-1.31, 0.118, 1.0
-1.07, -0.017, 1.0
-1.76, -1.58, 1.0
-1.39, -0.156, 1.0
0.247, -0.96, -1.0
1.42, 1.49, 1.0
-1.55, 0.588, -1.0
0.375, 1.27, -1.0
-0.129, 0.877, 1.0
-1.18, 0.732, -1.0
-1.68, 0.93, -1.0
-1.45, -0.701, 1.0
1.42, -0.0465, -1.0
0.855, 0.959, -1.0
-0.298, -0.243, 1.0
1.01, 0.397, -1.0
-0.461, -1.07, -1.0
-1.51, -1.39, 1.0
0.751, 0.608, -1.0
0.00425, 1.61, -1.0
-0.67, 1.22, -1.0
1.57, 1.16, 1.0
-0.843, -1.14, -1.0
0.357, 0.647, -1.0
0.977, 0.597, -1.0
1.27, 0.0842, -1.0
-0.322, 0.535, 1.0
-2.32, 0.0861, -1.0
0.137, -0.247, 1.0
-0.369, 0.692, 1.0
-0.753, 1.1, -1.0
-1.37, 0.968, -1.0
0.11, 0.553, 1.0
0.171, 1.59, 1.0
-0.543, -0.0204, 1.0
-0.542, -0.739, -1.0
-0.683, 1.38, -1.0
0.0734, -0.162, 1.0
-0.779, 0.676, 1.0
-0.532, -1.17, -1.0
1.53, -1.05, 1.0
-0.53, -0.944, -1.0
-1.32, -0.146, 1.0
0.832, 0.442, -1.0
-1.41, 1.14, -1.0
-1.72, -0.41, 1.0
-0.755, -0.759, 1.0
-1.64, -0.562, 1.0
-0.146, 1.83, 1.0
-0.175, -0.946, -1.0
0.833, 0.653, -1.0
0.69, 1.57, -1.0
0.857, 0.875, -1.0
-0.983, 1.1, -1.0
-0.986, -1.27, -1.0
0.335, -0.483, 1.0
0.381, 1.55, -1.0
-1.57, 0.905, -1.0
0.533, 0.541, 1.0
0.318, -0.87, -1.0
0.00295, -0.125, 1.0
0.202, -1.37, -1.0
-1.02, -0.146, 1.0
-2.04, -0.978, 1.0
-0.772, 0.933, -1.0
0.759, 0.0328, 1.0
-1.04, -1.24, -1.0
0.33, -1.48, -1.0
-0.97, -1.6, -1.0
2.22, 1.31, 1.0
1.15, 1.68, 1.0
-1.09, 0.289, 1.0
-0.124, 0.181, 1.0
0.344, 1.49, -1.0
1.29, -0.151, -1.0
-1.45, 0.377, -1.0
-1.38, -1.11, 1.0
-1.76, -0.632, 1.0
-0.473, -1.55, -1.0
-0.912, -0.484, 1.0
0.589, 0.557, 1.0
-0.583, -0.743, -1.0
1.32, -0.616, 1.0
0.341, -1.43, -1.0
-0.78, -0.43, 1.0
-1.17, -0.95, 1.0
0.283, -1.56, -1.0
0.295, -0.273, 1.0
0.0175, 1.47, -1.0
0.586, -0.273, 1.0
-1.51, -0.248, 1.0
0.299, 1.52, -1.0
-0.687, 1.01, -1.0
-0.888, -1.59, -1.0
1.2, -0.68, 1.0
0.666, -1.52, -1.0
1.0, 0.285, 1.0
-0.144, -1.03, -1.0
-1.93, -0.0856, 1.0
-0.116, 1.26, -1.0
-0.487, -1.19, -1.0
-0.503, 1.35, -1.0
-0.581, -1.34, -1.0
2.32, 1.3, 1.0
1.47, -0.0839, -1.0
-2.06, -0.332, -1.0
0.13, -0.469, 1.0
0.383, -0.987, -1.0
1.07, 0.573, -1.0
-0.148, 1.6, -1.0
-0.499, -0.858, -1.0
0.372, -0.809, -1.0
1.29, 0.622, -1.0
-0.106, 0.552, 1.0
-0.0708, 0.439, 1.0
1.19, 0.19, -1.0
-0.731, -0.906, -1.0
-1.03, 0.277, 1.0
0.587, 0.322, 1.0
1.18, -0.789, -1.0
-1.04, -1.42, -1.0
-0.356, -1.16, -1.0
0.501, 0.0251, 1.0
-0.741, 0.979, -1.0
0.182, -0.0823, 1.0
-0.762, -1.11, -1.0
-0.737, -0.617, -1.0
-0.753, -1.25, -1.0
0.518, 1.41, -1.0
0.28, 0.429, 1.0
0.475, -0.381, 1.0
1.57, -0.0786, -1.0
1.24, 0.809, -1.0
0.317, -1.13, -1.0
-1.78, 0.819, -1.0
-1.4, -0.386, 1.0
