@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
-1.05, 0.72, -1.0
1.7, 1.21, 1.0
2.52, 1.43, 1.0
0.271, -0.591, 1.0
-1.59, -0.68, 1.0
-1.41, 1.11, -1.0
-2.14, -1.43, 1.0
0.522, 1.46, -1.0
-0.0314, -1.01, -1.0
-0.285, -1.1, -1.0
0.603, -0.108, 1.0
0.27, 0.0491, 1.0
0.495, -0.281, 1.0
1.22, 0.561, -1.0
1.38, -1.74, 1.0
-0.819, 1.26, -1.0
1.39, -0.376, -1.0
0.77, 1.4, -1.0
1.71, 1.1, 1.0
0.0131, -0.969, -1.0
0.896, 1.58, 1.0
0.497, -0.671, 1.0
-0.89, -1.17, -1.0
-1.03, -1.09, -1.0
-1.77, -0.828, 1.0
-0.168, 1.32, -1.0
1.22, -0.0172, -1.0
0.0107, 0.0258, 1.0
0.308, -1.06, -1.0
-0.619, -0.748, -1.0
0.983, -1.31, 1.0
-0.796, -1.63, -1.0
0.812, -0.195, 1.0
-1.2, -1.02, -1.0
-0.481, 1.09, -1.0
-0.314, 0.0194, 1.0
1.04, 0.563, -1.0
1.37, -0.643, -1.0
-1.97, 0.611, -1.0
0.159, 1.51, -1.0
-0.843, 1.4, -1.0
-0.268, -1.26, -1.0
0.351, -0.0402, 1.0
0.54, -1.26, -1.0
0.74, 1.2, 1.0
-0.617, -1.02, -1.0
0.487, -0.13, 1.0
-0.881, -1.59, -1.0
1.25, -0.35, -1.0
1.64, 0.174, -1.0
-0.495, -1.2, -1.0
0.701, 0.0237, 1.0
-0.254, -0.932, -1.0
-1.73, 0.87, -1.0
-0.374, -1.08, -1.0
1.36, -0.425, -1.0
0.0949, -0.854, 1.0
0.939, 1.69, 1.0
0.308, 0.933, -1.0
1.18, 0.424, -1.0
0.169, 1.86, 1.0
-0.0715, 1.41, -1.0
-0.504, 1.03, -1.0
1.39, 0.262, -1.0
-0.606, -0.546, 1.0
0.934, 0.258, 1.0
-2.14, -0.476, 1.0
0.238, -1.51, -1.0
-0.283, 1.88, 1.0
-0.341, -0.0358, 1.0
-0.862, -0.0613, 1.0
0.748, -0.558, 1.0
0.199, -0.86, -1.0
0.56, 0.491, -1.0
-0.232, -0.843, 1.0
0.913, -0.318, 1.0
-1.08, 1.31, -1.0
0.379, 1.37, -1.0
1.24, -1.33, 1.0
1.16, 0.0489, -1.0
0.191, 1.72, -1.0
1.18, 0.913, -1.0
-0.576, -0.463, 1.0
-1.49, 0.885, -1.0
1.05, 0.651, -1.0
-0.0618, 0.358, 1.0
-0.673, 0.313, 1.0
0.604, 1.03, -1.0
-0.311, 0.995, 1.0
-1.42, -0.36, 1.0
1.15, 0.824, -1.0
0.233, -1.29, -1.0
-0.56, -1.41, -1.0
0.167, 0.87, -1.0
0.56, -1.05, -1.0
-1.29, 0.891, -1.0
-1.08, -0.0594, 1.0
-0.334, 0.18, 1.0
2.12, 1.1, 1.0
1.27, 0.301, -1.0
-0.93, 0.758, -1.0
-0.966, 0.487, 1.0
-0.76, -0.862, -1.0
-0.651, 0.369, 1.0
0.191, 1.94, -1.0
1.11, 0.57, -1.0
-1.42, -0.0747, 1.0
0.904, 1.04, -1.0
-1.15, 0.406, 1.0
-0.204, -1.54, -1.0
-1.06, 0.917, -1.0
0.799, 0.995, -1.0
-1.87, -1.17, 1.0
-0.693, 0.953, -1.0
0.0379, -1.64, -1.0
-0.903, -0.0822, 1.0
0.838, 0.603, -1.0
-2.12, -0.575, 1.0
-0.362, -1.7, -1.0
-0.614, -1.43, -1.0
-0.162, -0.0223, 1.0
-0.61, 0.00888, 1.0
-0.751, -1.37, -1.0
-0.116, 0.0815, 1.0
1.35, 0.644, -1.0
-0.45, -1.59, -1.0
1.18, 1.25, 1.0
-1.81, -0.643, 1.0
0.225, 1.34, -1.0
0.371, -0.589, 1.0
-0.129, 1.57, -1.0
-1.01, -0.211, 1.0
1.54, -0.26, -1.0
-0.845, -0.377, 1.0
-0.218, 2.09, -1.0
1.15, -1.56, 1.0
0.55, 0.857, -1.0
0.143, -1.56, -1.0
-1.94, -0.273, 1.0
