@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
-1.09, 0.437, 1.0
-0.482, -0.485, 1.0
-0.541, -0.332, 1.0
1.26, 1.21, 1.0
0.996, -1.7, 1.0
0.408, 0.0673, 1.0
1.16, 0.978, -1.0
0.0483, 0.866, -1.0
-0.124, -1.12, -1.0
0.767, -0.248, 1.0
-1.78, -0.378, 1.0
-1.39, -0.451, 1.0
1.22, -0.361, 1.0
-1.12, 0.576, -1.0
1.2, 1.54, 1.0
-0.462, -0.187, 1.0
-0.903, 0.101, 1.0
-0.876, -1.0, -1.0
-1.52, 0.66, -1.0
0.162, -0.791, -1.0
0.174, 1.92, -1.0
0.121, -1.3, -1.0
0.912, -0.114, -1.0
0.268, -1.08, 1.0
1.19, 0.113, 1.0
0.121, 1.72, -1.0
0.0692, -0.828, -1.0
-0.592, -1.17, -1.0
-0.705, -0.93, -1.0
1.05, 0.453, -1.0
-1.63, -1.41, 1.0
-1.59, -1.0, 1.0
-1.75, 0.722, -1.0
0.719, 0.0781, 1.0
0.0346, 1.7, -1.0
0.311, 1.76, -1.0
1.23, 0.354, -1.0
0.313, -1.07, -1.0
-0.74, -1.53, -1.0
-0.0381, -0.791, -1.0
0.301, -1.17, -1.0
0.837, 1.75, 1.0
-0.0203, 1.92, 1.0
-1.29, -0.529, 1.0
-0.455, 0.868, -1.0
-0.232, -1.4, -1.0
0.275, -0.987, -1.0
-1.27, -0.273, 1.0
0.489, 0.904, -1.0
0.96, -0.522, 1.0
1.84, 1.18, 1.0
0.859, -0.952, 1.0
-1.9, -1.1, 1.0
-0.0552, 0.882, 1.0
-0.794, 1.07, -1.0
-0.652, -1.1, -1.0
-0.134, -1.1, -1.0
-0.698, -1.26, -1.0
-0.0242, -0.659, 1.0
0.61, 0.488, -1.0
-0.227, -1.19, -1.0
0.642, 1.65, 1.0
-1.58, -1.25, 1.0
-0.601, -0.539, 1.0
-1.02, -1.18, -1.0
-0.904, 0.953, -1.0
0.441, -1.13, -1.0
0.15, -0.256, 1.0
-1.23, -0.336, 1.0
-0.256, 1.52, -1.0
0.527, -0.251, 1.0
0.563, 0.137, 1.0
-1.31, 0.00723, 1.0
-0.106, -0.316, 1.0
-1.64, 0.143, 1.0
1.43, 0.147, -1.0
0.324, 1.68, 1.0
1.29, 0.677, -1.0
-1.01, -1.53, -1.0
-0.166, -0.986, -1.0
-0.918, 1.13, -1.0
-1.1, 0.811, -1.0
-0.951, 0.533, -1.0
0.195, -0.296, 1.0
0.373, -1.17, -1.0
-0.558, 0.572, 1.0
1.47, -0.312, 1.0
0.184, 1.7, 1.0
-0.342, -1.31, -1.0
0.802, 0.431, 1.0
1.83, 0.349, -1.0
-0.702, -1.2, -1.0
1.45, -1.78, 1.0
0.171, -0.886, -1.0
-1.78, -1.49, 1.0
0.0438, 0.536, 1.0
1.52, -1.34, 1.0
-0.124, -1.27, -1.0
0.0584, -0.638, 1.0
0.206, 1.19, -1.0
-2.05, -1.4, 1.0
-0.502, -1.04, -1.0
2.81, 1.3, 1.0
0.126, -0.865, -1.0
0.918, 0.82, -1.0
-1.32, -0.403, 1.0
1.41, -1.48, 1.0
1.12, -0.756, 1.0
0.123, -1.62, -1.0
-1.4, 0.553, -1.0
1.26, 1.72, -1.0
-1.44, -0.358, 1.0
1.79, 1.5, 1.0
-0.252, 0.623, 1.0
0.255, 0.412, -1.0
0.0428, -1.04, -1.0
1.64, -0.605, -1.0
1.13, 0.33, -1.0
0.682, -0.146, -1.0
-0.621, -1.12, -1.0
0.133, -0.227, 1.0
0.551, 0.921, -1.0
-1.37, 0.645, -1.0
-0.198, -0.536, 1.0
1.1, 0.604, -1.0
-0.505, 1.17, -1.0
-0.628, -0.267, 1.0
-0.746, -0.93, -1.0
0.935, 0.556, -1.0
1.01, 0.829, -1.0
-2.77, 0.0962, -1.0
-0.509, 0.912, -1.0
2.51, 1.3, 1.0
0.753, 1.84, -1.0
1.02, 0.508, -1.0
1.5, 0.637, -1.0
2.03, -0.427, -1.0
-0.0237, 0.303, 1.0
-1.55, -1.02, 1.0
-0.93, -0.895, -1.0
-0.7, -1.25, -1.0
-0.634, 1.65, -1.0
1.95, -1.02, -1.0
-0.0184, -1.13, -1.0
-1.39, -1.09, 1.0
-0.783, -1.33, -1.0
-0.984, 1.03, -1.0
1.27, -0.159, -1.0
-1.92, -1.06, 1.0
-0.836, 0.959, -1.0
-0.158, 0.358, 1.0
-0.347, -0.556, 1.0
0.321, 1.58, -1.0
0.153, -0.875, 1.0
0.876, -0.807, 1.0
-0.214, -1.27, -1.0
-0.519, -1.0, -1.0
0.424, -0.84, -1.0
1.33, 1.7, 1.0
-0.351, -1.0, -1.0
-0.869, 0.625, -1.0
0.587, -0.311, 1.0
1.4, -0.874, 1.0
0.844, 1.22, -1.0
-0.0547, -1.06, -1.0
-0.305, 0.247, 1.0
1.52, 0.795, -1.0
0.923, 0.166, 1.0
1.51, 1.52, 1.0
0.122, 0.599, 1.0
0.236, 0.443, 1.0
1.14, -0.938, 1.0
0.463, 0.935, -1.0
-0.93, -0.502, 1.0
0.0735, -1.01, -1.0
-0.737, -0.0677, 1.0
-1.27, -0.673, 1.0
2.17, 0.926, 1.0
-0.232, -0.364, 1.0
1.33, -0.774, 1.0
-0.307, 0.938, -1.0
-0.891, 0.593, -1.0
-2.19, 0.0991, -1.0
0.729, 1.49, 1.0
1.46, -0.0465, -1.0
0.123, -1.24, -1.0
-1.67, -0.212, 1.0
-0.241, 0.897, 1.0
1.6, -0.183, -1.0
-0.439, 1.37, -1.0
-0.647, 1.08, -1.0
1.45, 1.33, 1.0
