@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
-0.584, 0.0937, 1.0
0.0809, 1.93, 1.0
-0.595, -0.651, 1.0
0.925, 0.895, -1.0
-0.687, -1.29, -1.0
1.12, 0.626, -1.0
1.09, -1.37, 1.0
-0.323, -0.213, 1.0
0.201, 0.0024, 1.0
1.33, 1.63, 1.0
-0.446, -0.861, -1.0
-1.86, -1.57, 1.0
-0.806, 0.941, -1.0
-0.536, 1.13, -1.0
-1.16, 0.469, 1.0
0.0179, -0.7, 1.0
-0.0482, 1.52, -1.0
-1.68, 1.08, -1.0
-1.77, -0.923, 1.0
-0.411, -1.3, -1.0
1.08, 0.683, -1.0
1.18, 0.614, -1.0
1.23, -0.615, 1.0
-1.86, -0.963, 1.0
1.43, 0.484, -1.0
-0.786, -1.33, -1.0
1.33, 1.42, 1.0
-1.25, 0.512, 1.0
1.08, 0.79, -1.0
-0.0584, 0.54, 1.0
-1.35, 1.32, -1.0
-0.639, -0.938, -1.0
-1.54, -0.643, 1.0
-0.24, 1.72, 1.0
1.21, 0.354, -1.0
-0.0978, -0.424, 1.0
1.05, 0.444, -1.0
2.6, 0.951, 1.0
-1.69, -1.2, 1.0
-0.758, -1.21, -1.0
-0.784, -1.05, -1.0
-1.73, -1.32, 1.0
-0.288, 0.305, 1.0
0.0486, -0.389, 1.0
-0.891, 1.0, -1.0
1.21, 1.28, -1.0
0.682, 1.5, -1.0
-0.181, 0.344, 1.0
1.39, -0.218, -1.0
-0.404, 0.178, 1.0
1.2, 0.298, -1.0
-0.346, -1.5, -1.0
0.863, -1.02, 1.0
1.58, -1.29, 1.0
0.987, 0.858, -1.0
-0.72, 0.189, 1.0
1.07, -0.0433, -1.0
0.0744, 1.04, -1.0
0.834, -0.584, 1.0
0.105, 0.103, 1.0
0.317, -0.0233, 1.0
-1.46, -0.909, 1.0
-0.526, 1.26, -1.0
-0.189, -1.24, -1.0
-0.598, 1.22, -1.0
-1.71, -1.29, 1.0
0.0219, -0.388, 1.0
-0.0908, -0.846, -1.0
1.77, 0.109, -1.0
-1.89, -0.727, 1.0
-1.7, -0.845, 1.0
0.272, 1.82, 1.0
-0.16, -1.36, -1.0
1.45, -0.26, -1.0
