@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
0.444, 1.99, -1.0
-0.863, 0.496, 1.0
1.71, -0.044, -1.0
-1.31, 1.25, -1.0
0.041, -1.13, -1.0
-2.11, 0.193, -1.0
0.315, -0.182, 1.0
0.785, 0.0481, 1.0
1.97, -0.772, -1.0
0.415, -1.0, -1.0
-0.308, 2.19, 1.0
1.17, -1.39, 1.0
0.408, 1.16, -1.0
-0.101, -0.765, -1.0
0.309, -0.175, 1.0
0.386, 1.55, -1.0
-0.0962, 0.19, 1.0
-0.982, -1.08, -1.0
-1.1, 1.16, -1.0
-0.584, 1.01, -1.0
0.666, 1.36, 1.0
-0.296, 0.255, 1.0
1.64, 0.0477, -1.0
0.916, 0.144, 1.0
0.254, -0.862, -1.0
0.945, 0.309, -1.0
-0.75, 1.14, -1.0
0.378, -0.0609, 1.0
-0.645, -0.238, 1.0
0.863, 0.765, -1.0
-1.37, -0.803, 1.0
-0.387, 0.26, 1.0
-0.274, 0.0468, 1.0
1.17, -0.567, 1.0
-0.946, -0.197, 1.0
1.88, -0.368, -1.0
-1.18, -0.0978, 1.0
-0.636, 1.35, -1.0
1.2, -1.56, 1.0
-0.102, -0.13, 1.0
-0.516, -0.935, -1.0
-0.893, -1.27, -1.0
0.794, 0.762, -1.0
-1.69, -0.175, -1.0
-0.364, -0.0828, 1.0
0.286, 1.23, -1.0
0.672, 2.03, -1.0
-0.52, -1.52, -1.0
0.103, 0.329, 1.0
-0.00264, -1.02, -1.0
0.685, 1.69, -1.0
1.23, -0.493, -1.0
1.31, -0.254, -1.0
-1.35, 0.424, 1.0
-1.01, -0.771, 1.0
-0.704, -0.802, -1.0
-1.08, -1.3, -1.0
0.975, 0.809, -1.0
-0.631, -0.867, -1.0
-1.1, 0.135, 1.0
0.472, 0.289, 1.0
-0.297, -0.467, 1.0
-0.641, 0.516, 1.0
-1.52, -0.658, 1.0
1.28, -0.176, 1.0
-1.43, 1.26, -1.0
0.71, 0.0529, 1.0
-1.08, 0.72, -1.0
-1.35, -0.485, 1.0
-1.25, -1.28, -1.0
0.168, 0.345, 1.0
1.45, -1.24, 1.0
-0.11, -0.911, -1.0
0.205, -0.471, 1.0
-0.625, 1.14, -1.0
1.41, 0.83, -1.0
0.176, -1.11, -1.0
-1.14, 0.304, 1.0
-0.636, -0.988, 1.0
-0.146, 0.132, 1.0
-1.42, 0.83, -1.0
-1.87, -0.451, 1.0
0.243, 0.304, 1.0
-1.11, 0.655, 1.0
0.125, 2.16, -1.0
0.826, 0.744, -1.0
1.45, 0.229, -1.0
-1.07, 0.534, 1.0
0.27, 0.696, 1.0
1.19, -0.404, -1.0
-0.377, 0.607, 1.0
1.16, -1.08, 1.0
0.827, 0.755, -1.0
0.604, 0.374, -1.0
-0.573, -0.789, 1.0
0.118, -1.37, -1.0
-0.0789, -1.35, -1.0
1.3, 0.555, -1.0
0.218, -0.368, 1.0
1.33, 0.825, -1.0
1.37, -1.52, 1.0
0.345, -0.891, -1.0
-1.52, -0.74, 1.0
0.893, 0.345, -1.0
-0.784, 0.969, -1.0
-0.929, -1.39, -1.0
-0.995, -1.39, -1.0
-1.66, -0.792, 1.0
0.73, -0.37, -1.0
-1.25, 0.104, 1.0
1.15, 1.16, 1.0
-1.07, 1.16, -1.0
0.322, 1.68, 1.0
0.407, 1.67, 1.0
-1.58, 0.807, -1.0
-0.679, -0.0957, 1.0
2.23, 0.895, 1.0
1.41, -0.808, 1.0
-0.68, 0.314, 1.0
1.87, 1.19, 1.0
1.26, -0.912, 1.0
0.725, -0.54, 1.0
0.211, -1.28, -1.0
0.1, -1.48, -1.0
-0.437, -0.984, -1.0
0.213, -0.752, -1.0
0.235, -1.05, -1.0
-1.02, -1.01, -1.0
-0.259, 1.34, -1.0
0.973, 0.457, -1.0
1.05, 0.768, -1.0
-0.892, 1.25, -1.0
-1.52, 0.946, -1.0
-0.156, -1.16, -1.0
0.271, -0.0382, 1.0
1.54, 1.24, 1.0
-0.0531, -1.26, -1.0
-1.89, -0.799, 1.0
-0.251, 0.846, 1.0
0.552, 0.961, -1.0
-0.71, -0.874, 1.0
1.35, -0.25, -1.0
-0.526, 1.19, -1.0
-0.869, 1.38, -1.0
-0.878, -1.16, -1.0
-0.568, -1.36, -1.0
1.62, 0.0564, -1.0
-1.01, 0.412, 1.0
-0.68, -1.07, -1.0
-0.0017, 0.282, 1.0
-0.83, 0.993, -1.0
1.35, 1.21, 1.0
-1.78, -1.58, 1.0
1.44, 1.38, 1.0
-0.413, 0.0554, 1.0
-0.754, 1.1, -1.0
0.714, -1.19, 1.0
-0.575, -1.62, -1.0
