@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}
@inputs At1, At2
@outputs Class
@data
0.763, 0.921, -1.0
0.00902, -0.434, 1.0
-0.123, -1.07, -1.0
0.526, 1.48, -1.0
-0.0341, -1.07, -1.0
0.888, 0.817, -1.0
-0.28, -1.3, -1.0
-1.79, -0.954, 1.0
0.826, 1.5, 1.0
0.845, 0.766, -1.0
-0.476, -1.49, -1.0
-0.223, -0.419, 1.0
-0.214, 0.38, 1.0
1.77, 1.35, 1.0
-0.0674, 1.85, -1.0
1.1, -0.695, 1.0
1.63, 0.475, -1.0
1.06, -0.69, 1.0
0.44, 0.399, 1.0
0.0681, -0.76, -1.0
0.72, 0.989, -1.0
-1.87, -1.26, 1.0
0.178, 1.49, -1.0
0.329, -0.37, 1.0
1.19, -1.34, 1.0
1.69, -0.724, -1.0
-1.9, 0.106, 1.0
-0.813, -0.57, 1.0
1.79, -0.102, -1.0
-1.87, -1.1, 1.0
-0.473, -0.749, -1.0
-0.972, -1.06, -1.0
1.2, -0.948, 1.0
1.28, 0.902, -1.0
-0.508, 1.48, -1.0
-0.853, -0.254, 1.0
-1.59, -0.98, 1.0
1.24, 0.273, -1.0
-0.127, -1.33, -1.0
-1.07, 0.963, -1.0
-0.262, 1.28, -1.0
0.778, 1.44, 1.0
-1.21, 0.778, -1.0
1.49, -0.156, -1.0
0.592, 0.973, -1.0
-0.407, 0.602, 1.0
-1.14, -0.494, 1.0
-1.04, 0.679, -1.0
-0.677, -1.41, -1.0
-0.9, 1.49, -1.0
-0.0307, 0.678, 1.0
-1.18, -0.758, 1.0
-1.41, -0.214, 1.0
-0.287, -0.726, 1.0
0.176, 1.94, -1.0
0.866, -0.807, 1.0
-0.748, -0.57, 1.0
1.42, -0.146, -1.0
0.548, -0.959, -1.0
-0.506, -1.09, -1.0
-1.31, -0.229, 1.0
-0.647, -1.22, -1.0
-1.66, -0.735, 1.0
0.514, 1.27, -1.0
-0.984, -0.807, -1.0
-1.62, -1.85, 1.0
-0.118, 1.7, 1.0
0.833, -0.254, 1.0
-0.874, 0.922, -1.0
0.808, -0.831, 1.0
0.755, 0.22, 1.0
-0.556, -0.505, 1.0
-1.74, 0.254, -1.0
0.816, 0.306, 1.0
0.96, -0.9, 1.0
0.154, -0.653, 1.0
0.0317, -0.821, 1.0
-1.57, 0.942, -1.0
0.59, -0.796, 1.0
-0.39, -0.209, 1.0
0.713, 1.02, -1.0
0.854, -0.827, 1.0
-0.474, -0.911, -1.0
0.26, 1.91, -1.0
1.21, 0.642, -1.0
-1.26, -0.296, 1.0
-0.579, -0.397, 1.0
1.39, -1.11, 1.0
0.969, 0.921, -1.0
-0.238, 0.126, 1.0
-0.734, -1.09, -1.0
-1.24, -0.72, 1.0
-1.62, 1.02, -1.0
-0.443, 1.86, -1.0
0.0205, 1.23, -1.0
0.683, -0.0347, 1.0
0.0296, 1.2, -1.0
-1.0, 0.078, 1.0
2.17, 1.24, 1.0
-1.48, -0.682, 1.0
0.981, -0.0572, -1.0
-0.254, 0.403, 1.0
-0.615, -1.36, -1.0
0.387, 1.71, -1.0
-1.03, -0.422, 1.0
-0.711, 0.0759, 1.0
0.592, 1.15, -1.0
-0.948, -0.982, -1.0
-0.299, -1.14, -1.0
1.33, -0.486, 1.0
0.871, 1.29, -1.0
0.0652, -0.766, -1.0
1.07, -0.221, 1.0
1.34, -0.689, -1.0
-1.6, 0.632, -1.0
0.734, -0.212, 1.0
-0.524, -0.857, -1.0
-0.286, -0.571, 1.0
0.908, -0.506, 1.0
1.16, 0.703, -1.0
-0.501, 1.1, -1.0
1.89, 1.1, 1.0
-1.19, -1.03, -1.0
-1.25, -1.1, -1.0
-1.02, 0.899, 1.0
-0.0979, -1.01, -1.0
1.31, -0.566, 1.0
0.355, 0.562, 1.0
0.265, -0.375, 1.0
0.909, 0.522, -1.0
-2.56, -0.0784, -1.0
-0.836, -0.507, 1.0
1.31, 0.328, -1.0
-0.528, 0.953, 1.0
-0.921, -1.19, -1.0
1.42, -0.697, 1.0
0.494, -1.01, -1.0
-0.0853, -1.12, -1.0
1.26, -2.39, 1.0
1.11, 0.431, -1.0
-1.53, 1.21, -1.0
0.646, 1.82, 1.0
-0.353, 1.98, 1.0
-0.685, 0.459, 1.0
0.29, 0.591, -1.0
-0.995, -0.937, -1.0
-0.68, 1.68, -1.0
0.305, 1.63, 1.0
-1.32, 0.907, -1.0
1.41, 0.0907, -1.0
-0.639, 0.522, 1.0
0.941, -0.254, 1.0
1.68, 0.113, -1.0
-0.834, 1.41, -1.0
0.191, -1.29, -1.0
-0.866, 0.751, -1.0
-0.162, -1.24, -1.0
-1.04, 1.33, -1.0
-0.869, 0.634, -1.0
0.816, -0.133, 1.0
-0.791, -1.44, -1.0
0.0336, 0.323, 1.0
-0.258, -1.06, -1.0
-0.253, -0.809, -1.0
0.268, 1.14, -1.0
-0.237, -0.0378, 1.0
1.27, 0.496, -1.0
-1.19, -0.939, -1.0
0.496, -0.614, 1.0
-1.28, -1.17, 1.0
-0.23, -1.02, -1.0
2.45, 1.25, 1.0
-0.581, 0.582, 1.0
-0.337, 0.559, 1.0
-0.369, -0.965, -1.0
0.00453, 1.47, -1.0
0.945, 0.239, 1.0
0.576, -0.342, 1.0
-0.158, -1.08, -1.0
-1.21, 0.357, 1.0
-1.13, 0.164, 1.0
-0.394, -0.338, 1.0
-1.24, 0.323, 1.0
0.372, 1.6, -1.0
1.21, -1.77, 1.0
1.04, 0.93, -1.0
-0.0814, 2.18, 1.0
1.14, 0.814, -1.0
0.786, 0.859, -1.0
1.17, -1.4, 1.0
-0.188, -0.998, -1.0
-0.621, 1.52, -1.0
0.624, 1.1, -1.0
0.922, 0.93, -1.0
0.571, -1.53, -1.0
1.41, -2.09, 1.0
0.561, 1.74, 1.0
0.617, 1.11, -1.0
-0.261, -1.27, -1.0
0.499, -1.17, -1.0
-2.01, 0.439, -1.0
0.638, 1.11, -1.0
0.0965, -1.1, -1.0
-0.494, -0.719, -1.0
-1.51, -0.276, 1.0
-1.03, 0.681, -1.0
-0.214, 1.58, -1.0
-0.212, -0.155, 1.0
-0.0683, -0.404, 1.0
-0.951, -1.33, -1.0
-0.337, 1.48, -1.0
0.314, -1.25, -1.0
0.535, 1.99, -1.0
-0.303, -0.883, -1.0
0.105, 1.77, -1.0
0.219, 1.59, 1.0
1.85, -0.558, -1.0
0.0624, -1.05, -1.0
-0.366, -1.52, -1.0
-0.47, -1.12, -1.0
-1.59, 0.176, -1.0
0.371, -1.23, -1.0
0.309, -1.03, -1.0
-1.49, -0.498, 1.0
-0.606, 3.19, -1.0
-0.524, -1.09, -1.0
0.554, 1.19, -1.0
-0.124, -0.95, -1.0
0.254, 2.42, -1.0
-0.211, -0.492, 1.0
-0.826, -0.966, -1.0
0.72, -0.316, 1.0
-1.12, -1.2, -1.0
-2.06, -1.23, 1.0
0.785, 0.158, 1.0
1.27, 0.433, -1.0
-1.01, -1.47, -1.0
-0.149, 0.816, 1.0
-0.136, -1.41, -1.0
-0.0388, -0.984, -1.0
0.136, -1.49, -1.0
-0.991, 0.114, 1.0
-1.89, -0.418, 1.0
0.0608, -1.23, -1.0
-0.529, -1.22, -1.0
-0.121, -0.498, 1.0
0.673, 1.07, -1.0
-6.89E-4, 2.0, 1.0
1.08, -1.76, 1.0
2.03, 0.984, 1.0
1.46, -1.61, 1.0
-0.872, -0.461, 1.0
0.823, -0.248, 1.0
1.03, 1.61, -1.0
1.2, -0.944, 1.0
1.46, 1.69, 1.0
-1.29, -1.03, 1.0
0.00914, 0.431, 1.0
0.953, 0.719, -1.0
-0.0931, 1.52, -1.0
0.0526, -1.31, -1.0
1.3, -1.28, 1.0
-0.943, -1.26, -1.0
2.2, 0.935, 1.0
0.636, 0.756, -1.0
-0.239, -0.619, -1.0
2.75, 1.47, 1.0
0.249, -1.46, -1.0
0.377, 1.72, 1.0
-0.00835, 1.76, -1.0
-0.633, -1.18, -1.0
0.0927, -1.02, -1.0
1.12, 1.01, -1.0
0.176, 1.23, -1.0
0.98, 0.766, -1.0
-1.55, 1.05, -1.0
0.974, 0.898, -1.0
0.947, -0.888, 1.0
-0.248, 0.514, 1.0
-0.687, -0.458, 1.0
-0.856, -0.664, 1.0
-0.954, 0.848, -1.0
-0.178, -1.15, -1.0
-1.02, 0.849, -1.0
1.85, 1.61, 1.0
-0.108, -0.793, 1.0
-0.96, 0.644, -1.0
-0.0202, -1.26, -1.0
-1.15, -0.508, 1.0
1.01, 1.21, 1.0
1.49, 1.59, 1.0
0.812, -0.751, 1.0
-0.599, -0.521, 1.0
0.677, 0.964, -1.0
1.13, 1.38, 1.0
0.847, -0.61, 1.0
-1.55, -0.744, 1.0
1.16, 0.654, -1.0
0.569, 0.481, 1.0
-0.581, 1.36, -1.0
-2.04, -0.584, 1.0
-0.654, -1.02, -1.0
0.271, -1.28, -1.0
-1.06, 0.665, -1.0
1.98, 0.417, -1.0
-0.935, 0.321, 1.0
0.321, 0.299, 1.0
-1.23, -0.703, 1.0
-0.139, -1.26, -1.0
-0.632, 1.35, -1.0
-0.0753, 0.267, 1.0
-0.445, -1.24, -1.0
-1.57, 0.679, -1.0
-0.588, -1.35, -1.0
-0.298, 0.158, 1.0
1.72, -0.471, -1.0
-0.383, -1.26, -1.0
-0.99, 0.231, 1.0
1.66, 0.239, -1.0
-1.05, 0.966, -1.0
-0.239, -1.42, -1.0
1.14, -0.286, 1.0
0.589, 0.714, -1.0
-1.8, -1.71, 1.0
0.238, 1.74, -1.0
0.383, -0.824, 1.0
-1.87, -1.0, 1.0
0.713, 0.948, -1.0
1.66, 0.243, -1.0
0.415, 0.986, -1.0
-0.0839, 1.0, 1.0
0.265, -1.06, -1.0
-0.0264, -0.952, -1.0
-0.652, -1.54, -1.0
-0.145, 0.471, 1.0
-0.494, -1.22, -1.0
0.595, 0.677, -1.0
1.23, -2.2, 1.0
0.113, 0.462, 1.0
-1.32, 0.516, 1.0
-0.815, 0.334, 1.0
0.185, 0.617, -1.0
-0.499, -0.241, 1.0
-0.259, 1.52, -1.0
1.27, -0.747, -1.0
-1.55, 0.121, 1.0
0.85, 0.726, -1.0
0.624, 0.621, -1.0
-1.8, -1.25, 1.0
0.00356, 1.87, -1.0
0.178, -1.24, -1.0
0.769, 0.855, -1.0
-1.31, -1.16, 1.0
-0.0686, 1.72, -1.0
1.7, -0.0336, -1.0
0.0817, 0.418, 1.0
-0.67, -0.55, 1.0
0.207, 0.65, 1.0
1.57, 0.483, -1.0
1.02, -0.351, 1.0
-0.834, -1.19, -1.0
-0.241, 0.774, 1.0
-0.463, 0.0231, 1.0
-0.951, 1.39, -1.0
0.566, -0.977, 1.0
0.721, 0.731, -1.0
0.021, -0.905, -1.0
1.23, 0.0999, 1.0
0.904, 1.15, -1.0
-1.09, -0.463, 1.0
1.53, 0.368, -1.0
-0.436, 1.86, -1.0
0.562, 0.172, 1.0
-0.605, -1.52, -1.0
0.102, -1.36, -1.0
0.0114, 1.66, -1.0
0.21, 2.18, -1.0
0.23, -1.15, -1.0
0.928, 1.45, 1.0
-0.314, -0.919, -1.0
-0.215, -0.217, 1.0
0.605, 0.378, 1.0
1.49, -1.53, 1.0
-1.96, -0.442, 1.0
-2.13, -1.85, 1.0
-0.758, 0.794, -1.0
1.45, -1.03, 1.0
-1.64, 0.572, -1.0
-0.516, 1.46, -1.0
0.0966, -1.06, -1.0
-0.121, -1.05, -1.0
1.62, -0.131, -1.0
0.901, -0.952, 1.0
-0.715, -1.49, -1.0
-1.53, 0.795, -1.0
-0.872, 0.663, -1.0
0.553, -0.172, 1.0
-1.34, -1.05, 1.0
-1.58, -0.798, 1.0
-0.23, 2.0, 1.0
0.99, 1.02, -1.0
0.435, 0.397, 1.0
-0.211, -0.637, -1.0
1.54, -0.749, -1.0
-0.0113, -0.78, -1.0
-1.33, 0.897, -1.0
-0.704, 0.71, -1.0
0.672, 1.57, -1.0
0.129, -0.889, -1.0
1.92, 0.0429, -1.0
0.942, 0.248, -1.0
-1.02, -1.19, -1.0
-1.28, -0.471, 1.0
-0.767, -1.2, -1.0
-0.29, 0.7, 1.0
-0.956, 1.11, -1.0
1.01, -0.437, 1.0
-0.421, -1.09, -1.0
-0.633, 0.257, 1.0
-1.15, -0.545, 1.0
-0.0476, -1.24, -1.0
-0.726, -1.17, -1.0
1.71, -0.945, -1.0
-1.4, 0.98, -1.0
-2.09, 0.604, -1.0
-1.98, -0.655, 1.0
0.458, -0.157, 1.0
1.59, -0.111, -1.0
-0.482, 0.0903, 1.0
-0.814, 0.23, 1.0
-0.422, -0.241, 1.0
-0.803, -1.09, -1.0
-0.699, -0.359, 1.0
-1.15, -0.562, 1.0
0.781, 0.911, -1.0
0.603, 0.145, 1.0
-0.118, -1.26, -1.0
-1.94, -0.761, 1.0
1.41, 0.319, -1.0
0.924, 0.861, -1.0
0.0125, -0.665, -1.0
0.0368, -0.239, 1.0
-0.744, -1.39, -1.0
-0.0439, 0.305, 1.0
0.457, 0.191, 1.0
-1.08, 1.01, -1.0
0.032, -1.5, -1.0
0.0325, -1.46, -1.0
0.7, 1.14, -1.0
-0.17, 1.18, -1.0
0.25, -1.1, -1.0
-0.64, 0.705, 1.0
0.14, -0.8, -1.0
0.379, 1.74, -1.0
-0.108, 1.7, -1.0
-0.514, -1.21, -1.0
-0.251, 0.327, 1.0
0.973, 0.653, -1.0
-0.192, 0.791, 1.0
-1.12, -0.315, 1.0
-0.932, -1.02, -1.0
-0.989, 0.48, -1.0
0.724, 0.706, -1.0
0.179, -1.04, -1.0
1.47, -1.44, 1.0
-0.243, -1.24, -1.0
1.18, 0.766, -1.0
0.142, -0.698, 1.0
0.423, 1.74, -1.0
1.4, -1.13, 1.0
0.424, 0.471, -1.0
-0.522, 0.877, 1.0
-0.391, 1.03, -1.0
0.0114, -1.46, -1.0
2.37, 1.14, 1.0
-0.298, -1.26, -1.0
0.822, 0.501, -1.0
-0.266, -1.2, -1.0
-0.125, -1.48, -1.0
-1.54, 0.516, 1.0
1.55, -0.466, -1.0
0.299, 1.56, -1.0
-0.0554, -1.28, -1.0
-1.1, 0.641, 1.0
-1.31, -0.354, 1.0
-0.622, 0.804, 1.0
0.309, -0.689, 1.0
-0.0273, 0.739, 1.0
1.25, 0.794, -1.0
0.764, 0.469, -1.0
1.82, 1.43, 1.0
-0.18, 0.595, 1.0
-0.742, -1.02, -1.0
2.41, 1.26, 1.0
0.235, 0.772, 1.0
0.735, 1.63, 1.0
0.0737, 0.124, 1.0
0.382, 0.175, 1.0
-1.37, -0.205, 1.0
0.627, -0.0629, 1.0
-0.327, 0.612, 1.0
-1.59, 0.322, -1.0
1.38, 0.749, -1.0
-1.82, 0.885, -1.0
-2.25, -1.96, 1.0
-0.566, -1.33, -1.0
1.56, -0.367, 1.0
0.823, -1.21, -1.0
-1.53, -1.21, 1.0
-1.09, 0.531, -1.0
0.923, 0.933, -1.0
-0.753, -0.321, 1.0
-0.66, -0.0708, 1.0
2.57, 0.989, 1.0
-0.103, -0.414, 1.0
-0.0957, -1.06, -1.0
1.25, -0.118, -1.0
-1.45, -1.29, 1.0
-0.904, -0.203, 1.0
-1.54, -0.618, 1.0
1.98, -0.0252, -1.0
0.485, 0.635, -1.0
-0.658, -1.31, -1.0
-0.171, 0.0105, 1.0
-0.653, 0.433, 1.0
-1.02, -0.224, 1.0
-0.415, 0.256, 1.0
0.762, 0.125, 1.0
-0.843, -1.08, -1.0
2.64, 1.14, 1.0
