@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
0, 0.0, 0.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, b
1, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.018, 1.0, -1.0, 1.0, 1.0, 1.0, -0.856, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 1.0, 1.0, 1.0, -0.791, 1.0, 1.0, 1.0, 1.0, b
1, 0.713, -0.026, 0.413, -0.231, 0.98, -0.095, 0.997, -0.102, 1.0, -0.11, 0.59, 1.0, 0.837, -1.0, 0.823, -0.179, 0.808, -0.283, -0.259, 0.927, 0.519, 0.055, 0.655, -0.204, 0.931, -0.413, 0.638, -0.219, 0.861, -0.874, -0.232, -1.0, b
1, 0.662, -1.0, 1.0, 1.0, 1.0, -0.673, 0.809, -0.404, 1.0, -1.0, 1.0, -0.894, 1.0, 0.734, 0.176, 0.71, 1.0, 0.78, 1.0, 0.853, 1.0, -1.0, 1.0, 0.854, 1.0, -0.086, 0.96, -0.362, 1.0, 0.653, 1.0, 0.347, b
1, 1.0, 0.0040, 1.0, -0.012, 1.0, -0.03, 1.0, -0.07, 0.978, -0.063, 1.0, -0.065, 0.973, -0.079, 0.926, -0.137, 0.942, -0.143, 0.996, -0.142, 0.948, -0.136, 0.895, -0.209, 0.891, -0.179, 0.856, -0.186, 0.838, -0.201, 0.839, -0.208, g
0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, b
1, 0.99, -0.058, 0.998, -0.13, 0.987, -0.194, 0.994, -0.258, 0.927, -0.301, 0.927, -0.38, 0.898, -0.438, 0.849, -0.521, 0.874, -0.571, 0.79, -0.598, 0.747, -0.646, 0.683, -0.685, 0.652, -0.732, 0.61, -0.754, 0.548, -0.803, 0.492, -0.832, g
1, 0.946, -0.027, -1.0, 0.261, -0.364, 0.356, 0.693, -0.634, 1.0, -0.034, -0.29, -0.0060, -0.549, 0.155, 0.919, -0.463, 1.0, -0.504, -0.297, -0.315, -0.739, 0.374, 0.839, -0.467, 0.522, -0.581, 1.0, -0.614, -0.096, 0.205, -0.061, 0.419, b
1, 1.0, -0.023, 1.0, -0.045, 1.0, -0.067, 1.0, -0.088, 1.0, 0.562, 1.0, -0.127, 1.0, -0.145, 1.0, 0.324, 1.0, -0.176, 0.995, -0.189, 0.956, -0.201, 1.0, -0.923, 0.873, -0.218, 0.829, -0.224, 0.785, -0.228, 0.74, -0.23, g
1, 1.0, -0.415, 1.0, 0.761, 0.871, 0.186, 1.0, -0.099, 0.938, 0.48, 0.655, -0.161, 1.0, 0.0090, 0.976, -0.501, 0.8, -0.245, 0.881, -0.191, 1.0, -0.123, 0.936, 0.107, 0.929, -0.072, 1.0, -0.274, 0.44, 0.198, 0.514, -0.054, g
