@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, -0.867, 1.0, 0.223, 0.855, -0.399, 1.0, -0.121, 1.0, 0.351, 1.0, 0.078, 1.0, -0.148, 1.0, -1.0, 1.0, -1.0, 0.618, 0.158, 1.0, 0.623, 1.0, -0.17, 1.0, 0.359, 1.0, -0.665, 1.0, 0.884, 1.0, -0.188, b
1, 0.909, 0.088, 0.865, 0.169, 1.0, 0.166, 0.552, 0.682, 0.702, 0.367, 0.163, 0.427, 0.576, 0.461, 0.511, 0.496, 0.316, 0.13, 0.378, 0.545, 0.313, 0.558, 0.249, 0.565, 0.186, 0.566, 0.126, 0.561, 0.069, 0.551, 0.121, 0.677, g
1, 1.0, -0.037, 1.0, -0.074, 0.996, -0.11, 0.998, -0.099, 0.989, -0.138, 0.967, -0.217, 0.953, -0.251, 0.912, -0.344, 0.906, -0.322, 0.9, -0.347, 0.879, -0.376, 0.862, -0.43, 0.832, -0.431, 0.814, -0.426, 0.779, -0.48, 0.751, -0.502, g
1, 1.0, 0.058, 0.945, 0.074, 1.0, 0.132, 1.0, -0.019, 0.948, 0.07, 0.957, 0.146, 0.949, 0.112, 0.909, 0.201, 0.967, 0.163, 0.997, 0.143, 0.908, 0.164, 0.917, 0.224, 0.884, 0.236, 0.886, 0.225, 0.783, 0.296, 0.836, 0.312, g
1, 0.172, -1.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.0, 0.0, -0.614, -0.677, 0.805, 0.361, 0.52, 0.144, 0.0, 0.0, -1.0, -0.271, -0.848, 0.962, 1.0, 1.0, -1.0, 0.677, 0.0, 0.0, 0.0, 0.0, b
1, 0.848, 0.106, 1.0, 0.391, 1.0, -1.0, 0.669, 0.084, 1.0, 0.27, 1.0, 0.606, 1.0, 0.355, 1.0, 0.027, 0.584, -0.43, 1.0, 0.635, 0.891, 0.266, 0.91, -0.333, 1.0, 0.159, 0.377, -0.019, 1.0, 0.225, 1.0, 0.374, b
1, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, b
1, 1.0, 0.035, 1.0, 0.183, 1.0, 0.27, 1.0, 0.251, 1.0, 0.288, 1.0, 0.386, 1.0, 0.317, 1.0, 0.657, 1.0, 0.538, 1.0, 0.613, 1.0, 0.595, 0.896, 0.683, 0.895, 0.714, 0.856, 0.671, 0.744, 0.856, 0.715, 0.758, g
0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, b
1, 0.749, -0.028, 0.657, -0.052, 0.806, 0.028, 0.859, 0.025, 0.635, 0.087, 0.716, 0.078, 0.731, 0.052, 0.786, -0.278, 0.66, -0.015, 0.787, 0.07, 0.346, -0.186, 0.654, 0.028, 0.61, -0.066, 0.536, -0.212, 0.59, -0.141, 0.564, 0.03, g
