@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, -0.188, 0.93, -0.362, -0.109, -0.936, 1.0, -0.045, 0.509, -0.677, 0.344, -0.697, -0.517, -0.975, 0.055, -0.622, 0.331, -1.0, -0.132, -0.453, -0.181, -0.357, -0.203, -0.266, -0.205, -0.184, -0.19, -0.116, -0.166, -0.063, -0.137, -0.024, b
1, 1.0, -0.542, 1.0, -1.0, 1.0, -1.0, 1.0, 0.362, 1.0, -0.411, 1.0, 1.0, 1.0, -1.0, 1.0, -0.294, 1.0, -0.936, 1.0, 1.0, 1.0, 1.0, 1.0, -0.409, 1.0, -0.627, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, b
1, 1.0, -0.142, 1.0, -0.163, 1.0, -0.237, 1.0, -0.075, 1.0, -0.25, 1.0, -0.262, 1.0, -0.22, 1.0, -0.386, 1.0, -0.462, 1.0, -0.355, 1.0, -0.597, 1.0, -0.476, 0.988, -0.497, 1.0, -0.758, 1.0, -0.758, 1.0, -0.844, g
1, 0.912, 0.043, 0.942, 0.023, 0.947, 0.053, 0.936, 0.013, 0.919, 0.063, 0.928, 0.121, 0.92, 0.062, 0.889, 0.127, 0.837, 0.144, 0.81, 0.118, 0.77, 0.142, 0.758, 0.113, 0.736, 0.133, 0.664, 0.153, 0.709, 0.108, 0.653, 0.114, g
1, 0.957, 0.081, 0.975, -0.057, 0.972, -0.085, 0.961, -0.066, 0.947, 0.013, 0.954, -0.168, 0.946, -0.195, 0.996, -0.323, 0.903, -0.359, 0.914, -0.273, 0.901, -0.298, 0.999, -0.407, 0.872, -0.346, 0.921, -0.306, 0.84, -0.391, 0.822, -0.412, g
1, 1.0, 0.678, 0.813, 0.82, 0.43, 1.0, 0.206, 0.805, -0.439, 1.0, -0.791, 0.771, -1.0, 0.403, -0.39, -0.586, -0.979, -0.428, -0.731, -0.763, -0.377, -0.975, 0.414, -1.0, 0.418, -0.933, 0.258, -1.0, 0.936, -0.352, 0.988, 0.034, g
1, 0.419, 0.125, 0.35, 0.125, 0.232, 0.28, -0.036, 0.443, 0.045, 0.362, -0.191, 0.336, -0.134, 0.273, 0.027, 0.405, -0.348, 0.127, -0.2, 0.051, -0.186, 0.364, -0.14, -0.048, -0.1, -0.071, -1.0, -1.0, -0.029, -0.075, -0.0050, -0.063, b
1, 0.292, 0.136, 0.453, 0.168, 0.518, -0.0050, 0.526, 0.209, 0.525, -0.166, 0.474, -0.048, 0.555, 0.039, 0.817, -0.224, 0.424, -0.042, 0.35, 0.066, 0.282, -0.209, 0.517, -0.032, 0.504, -0.034, 0.346, 0.098, 0.708, -0.019, 0.396, -0.032, g
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.622, 1.0, 0.0, 0.0, 0.0, 0.0, 0.366, -0.72, 0.561, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 1.0, -0.572, 0.992, -0.734, 0.895, -0.974, 1.0, -0.358, 1.0, -0.232, 0.629, -0.864, 1.0, -0.575, 1.0, -0.796, 0.768, -0.89, 0.966, -1.0, 0.701, -0.749, 0.619, -0.769, 0.538, -0.78, 0.81, -1.0, 1.0, -1.0, 0.304, -0.761, g
1, 0.914, 0.816, -0.73, 1.0, -0.395, 0.557, 0.054, 0.297, -0.186, -0.102, -0.032, -0.09, 0.014, -0.034, 0.011, -0.0050, 0.0030, 0.0010, 0.0, 0.0010, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
1, 0.214, -0.095, 0.333, 0.071, 0.19, 0.19, 0.238, 0.095, 0.405, 0.024, 0.31, -0.048, 0.31, -0.048, 0.286, -0.119, 0.333, 0.048, 0.31, 0.0, 0.214, -0.119, 0.357, -0.048, 0.221, -0.023, 0.19, 0.0, 0.17, -0.02, 0.147, -0.019, g
1, 0.438, 0.042, 0.583, -0.104, 0.396, 0.0, 0.333, -0.062, 0.479, 0.0, 0.292, 0.104, 0.542, 0.021, 0.438, -0.229, 0.354, -0.229, 0.333, 0.083, 0.25, 0.188, 0.396, -0.188, 0.44, -0.101, 0.417, -0.083, 0.583, -0.312, 0.333, -0.062, g
1, 0.952, 0.023, 0.938, -0.013, 0.935, 0.012, 0.967, -0.017, 0.969, 0.0050, 0.957, -0.031, 0.953, -0.0040, 0.995, -0.027, 0.998, 0.018, 0.936, -0.05, 0.938, -0.024, 0.971, -0.045, 0.962, -0.016, 0.974, 0.019, 0.954, -0.034, 0.958, 0.0080, g
1, 0.627, -0.078, 0.725, 0.0, 0.608, -0.078, 0.627, -0.118, 0.686, -0.118, 0.667, -0.137, 0.647, -0.098, 0.549, -0.118, 0.549, -0.216, 0.588, -0.196, 0.667, -0.235, 0.451, -0.255, 0.524, -0.247, 0.569, -0.314, 0.431, -0.216, 0.471, -0.275, b
1, 0.724, -0.011, 0.797, 0.011, 0.8, 0.0020, 0.79, 0.011, 0.784, -0.01, 0.834, 0.033, 0.851, 0.017, 0.801, -0.0080, 0.791, -0.03, 0.76, 0.034, 0.748, 0.055, 0.726, -0.015, 0.78, 0.0060, 0.741, -0.05, 0.83, 0.03, 0.79, 0.0080, g
0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0, b
1, 1.0, 1.0, -1.0, 1.0, -1.0, -0.825, 0.346, 0.211, 0.461, 0.07, 0.228, 0.057, 0.351, 0.346, 0.728, -0.039, 0.228, 0.531, 0.0, 0.0, -0.298, -0.162, 1.0, -0.667, 1.0, -1.0, 1.0, -0.246, 0.351, 0.202, 0.829, 0.079, b
1, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.625, 1.0, -0.75, -0.75, 1.0, 1.0, 1.0, b
0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, b
1, 0.935, 0.136, 0.937, 0.254, 0.857, 0.388, 0.79, 0.471, 0.724, 0.599, 0.653, 0.75, 0.508, 0.736, 0.416, 0.827, 0.255, 0.86, 0.137, 0.856, 0.0050, 0.889, -0.074, 0.798, -0.21, 0.78, -0.332, 0.715, -0.385, 0.644, -0.474, 0.558, g
1, 0.975, 0.131, 0.941, 0.2, 0.888, 0.322, 0.89, 0.327, 0.856, 0.452, 0.723, 0.523, 0.699, 0.588, 0.585, 0.669, 0.489, 0.704, 0.442, 0.682, 0.353, 0.756, 0.268, 0.762, 0.168, 0.785, 0.075, 0.804, -0.03, 0.777, -0.103, 0.742, g
1, 0.0, 0.0, 1.0, 0.129, 0.884, -0.02, 0.0, 0.0, 1.0, -0.424, 1.0, 0.196, 1.0, -0.053, 1.0, -0.816, 0.0, 0.0, 1.0, -0.04, 1.0, -0.187, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 1.0, 0.118, 0.907, -0.096, b
