@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, -0.034, 1.0, 0.0050, 1.0, -0.121, 0.89, 0.012, 0.731, 0.053, 0.854, 0.0080, 0.546, 0.0030, 0.838, -0.136, 0.755, -0.085, 0.709, -0.275, 0.434, -0.121, 0.575, -0.402, 0.59, -0.221, 0.431, -0.174, 0.604, -0.242, 0.56, -0.382, g
1, 0.996, 0.065, 1.0, -0.012, 0.978, 0.025, 0.961, 0.023, 0.993, 0.078, 0.893, 0.103, 0.942, 0.053, 0.888, 0.111, 0.861, 0.086, 0.816, 0.118, 0.837, 0.144, 0.813, 0.134, 0.795, 0.136, 0.791, 0.154, 0.771, 0.159, 0.709, 0.12, g
1, 0.961, 0.071, 1.0, 0.043, 1.0, 0.093, 0.902, -0.051, 0.893, 0.026, 0.832, -0.061, 0.875, 0.098, 0.765, 0.0030, 0.752, -0.053, 0.66, -0.079, 0.642, -0.059, 0.557, -0.077, 0.581, -0.022, 0.497, -0.013, 0.513, -0.0, 0.521, -0.0020, g
1, 1.0, 0.578, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -0.628, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
0, -1.0, -1.0, 0.0, 0.0, -1.0, 1.0, 1.0, -0.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 0.0, 0.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 0.0, 0.0, -1.0, 1.0, b
1, 1.0, 0.065, 1.0, 0.207, 1.0, 0.263, 0.931, 0.322, 0.868, 0.39, 0.755, 0.501, 0.796, 0.523, 0.66, 0.608, 0.576, 0.63, 0.478, 0.671, 0.406, 0.688, 0.344, 0.721, 0.277, 0.724, 0.193, 0.707, 0.114, 0.727, 0.07, 0.714, g
1, -0.643, -1.0, 1.0, 0.829, 1.0, -1.0, 1.0, -0.234, 1.0, 0.962, 1.0, -0.377, 1.0, -1.0, 1.0, 0.138, 1.0, -1.0, 1.0, -0.034, -0.843, 1.0, 0.538, 0.857, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, b
1, 1.0, 0.098, 1.0, 0.122, 1.0, 0.226, 0.986, 0.092, 0.949, 0.192, 0.93, 0.243, 0.892, 0.283, 0.855, 0.267, 0.837, 0.331, 0.834, 0.317, 0.748, 0.396, 0.762, 0.347, 0.685, 0.427, 0.628, 0.46, 0.568, 0.47, 0.543, 0.509, g
1, 1.0, 0.168, 0.994, 0.163, 0.946, 0.333, 0.918, 0.226, 0.914, 0.371, 0.842, 0.469, 0.81, 0.492, 0.785, 0.483, 0.651, 0.57, 0.566, 0.581, 0.556, 0.647, 0.483, 0.552, 0.433, 0.691, 0.357, 0.761, 0.339, 0.668, 0.221, 0.787, g
1, 0.961, 0.086, 0.968, 0.193, 0.96, 0.275, 0.98, 0.351, 0.929, 0.463, 0.863, 0.525, 0.828, 0.588, 0.732, 0.691, 0.69, 0.731, 0.545, 0.688, 0.483, 0.762, 0.406, 0.747, 0.334, 0.838, 0.249, 0.861, 0.138, 0.868, 0.09, 0.863, g
