@relation ionosphere
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class {g, b}
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 1.0, -0.024, 0.941, 0.065, 0.921, -0.233, 0.772, -0.164, 0.528, -0.203, 0.564, -0.0070, 0.344, -0.275, 0.529, -0.218, 0.451, -0.178, 0.06, -0.356, 0.023, -0.529, 0.033, -0.652, 0.133, -0.532, 0.024, -0.622, -0.057, -0.596, -0.046, -0.657, g
1, 1.0, 0.067, 1.0, -0.184, 1.0, -0.273, 1.0, -0.431, 1.0, -0.413, 0.962, -0.519, 0.907, -0.59, 0.892, -0.665, 0.699, -0.71, 0.706, -0.763, 0.631, -0.805, 0.559, -0.891, 0.472, -0.865, 0.403, -0.837, 0.31, -0.891, 0.23, -0.892, g
1, 0.083, -0.207, -1.0, 1.0, -1.0, 1.0, 0.719, 0.472, -0.821, -0.627, -1.0, -1.0, -1.0, 1.0, -0.028, 0.592, -0.421, -0.421, -0.746, -1.0, -1.0, -0.468, -1.0, 0.238, 1.0, -1.0, -1.0, -0.389, -1.0, -1.0, -1.0, 0.615, b
1, 0.638, 1.0, 0.208, -1.0, 1.0, 1.0, 0.877, 0.309, -0.669, 1.0, -0.059, 0.588, 0.018, 0.05, -0.515, -1.0, 0.143, -0.033, 0.327, -0.439, -1.0, 1.0, 0.809, -1.0, 1.0, -0.061, 1.0, 1.0, 0.206, -1.0, 1.0, 1.0, b
0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, b
1, 0.709, -0.248, 0.643, 0.043, 0.452, 0.383, 0.652, 0.183, 0.5, 0.27, 0.578, -0.23, 0.504, 0.378, 0.387, -0.426, 0.361, -0.261, 0.27, 0.117, 0.532, -0.038, 0.313, -0.122, 0.499, -0.043, 0.483, -0.044, 0.643, -0.252, 0.504, 0.148, g
1, 0.741, 0.05, 0.791, 0.025, 0.786, 0.038, 0.662, 0.099, 0.678, 0.312, 0.759, 0.073, 0.747, 0.084, 0.707, -0.079, 0.636, 0.0, 0.7, 0.114, 0.682, 0.122, 0.67, 0.154, 0.642, 0.136, 0.657, 0.175, 0.598, 0.147, 0.575, 0.151, g
1, 0.945, -0.493, 1.0, -0.037, 0.989, -0.871, 0.901, 0.669, 1.0, -0.101, 1.0, -0.125, 1.0, -0.15, 1.0, -0.177, 1.0, -0.205, 1.0, -0.235, 1.0, -0.266, 1.0, -0.299, 1.0, -0.333, 1.0, -0.369, 1.0, -0.407, 1.0, -0.447, g
1, 1.0, -0.925, 1.0, 0.755, 0.491, -0.057, 0.623, 0.0, 1.0, -0.0010, 0.453, 0.075, 0.623, -0.057, 0.989, -0.0010, 0.528, 0.0, 0.528, 0.075, 0.952, -0.0010, 1.0, 0.792, 0.922, -0.0010, 0.943, -1.0, 1.0, 0.434, 0.434, -0.113, g
1, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.278, 0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 0.0, 0.0, b
1, 0.055, 0.014, -0.026, 0.046, 0.014, 0.046, -0.078, 0.0090, 0.017, -0.066, -0.037, 0.043, -0.083, -0.046, -0.095, 0.08, -0.04, 0.052, 0.02, 0.023, -0.037, -0.011, 0.032, -0.0090, 0.0090, 0.017, 0.026, 0.011, 0.026, 0.011, -0.046, -0.0060, b
1, 0.087, 0.0070, 0.14, -0.041, 0.105, -0.082, 0.126, -0.062, 0.233, -0.011, 0.124, 0.078, 0.146, -0.135, 0.291, -0.048, 0.19, 0.073, 0.117, 0.0, 0.112, -0.0020, 0.151, -0.103, 0.085, 0.014, 0.112, -0.066, 0.096, -0.073, 0.117, -0.069, b
1, 1.0, 1.0, 1.0, 0.512, 0.625, -1.0, 1.0, 1.0, 0.025, 0.031, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.312, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -0.944, 1.0, 0.0, 0.0, b
1, 1.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.75, 0.0, 0.912, 0.121, 0.891, 0.142, 0.869, 0.162, 0.75, 0.25, 0.75, 0.5, 0.75, 0.0, 1.0, -0.25, 0.5, 0.5, 0.739, 0.264, 0.75, 0.25, 0.696, 0.291, 0.675, 0.303, g
1, 1.0, 0.635, 1.0, 1.0, 0.771, 1.0, -0.333, 1.0, -1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -1.0, 0.0, -1.0, -0.667, -1.0, -0.925, -1.0, -0.333, -0.333, -1.0, 0.192, -1.0, 1.0, -1.0, 0.0, -1.0, 1.0, -0.667, g
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.333, 0.167, 0.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.198, -0.219, -0.167, 0.906, -1.0, 0.5, 0.042, 0.75, -0.229, -1.0, -0.125, -0.271, -0.198, -0.938, b
1, 0.369, -1.0, -1.0, -1.0, -0.077, 1.0, 1.0, 0.95, 0.746, -0.387, -1.0, -0.793, -0.097, 1.0, 0.487, 0.465, 0.318, -0.275, -0.143, -0.202, -0.12, 0.069, 0.03, 0.066, 0.034, -0.012, -0.0040, -0.017, -0.0080, 0.0010, 0.0, 0.0030, b
1, 1.0, -0.284, 1.0, -0.253, 0.946, -0.351, 1.0, -0.306, 0.927, -0.491, 0.908, -0.441, 0.757, -0.589, 0.697, -0.58, 0.596, -0.576, 0.685, -0.71, 0.545, -0.873, 0.492, -0.733, 0.355, -0.761, 0.264, -0.782, 0.166, -0.731, 0.14, -0.7, g
1, 0.474, -0.105, 0.838, 0.018, 0.832, 0.026, 0.684, -0.053, 0.684, 0.0, 0.799, 0.05, 0.783, 0.058, 0.842, 0.474, 1.0, 0.053, 0.726, 0.076, 0.703, 0.081, 0.421, 0.211, 0.654, 0.09, 0.526, -0.211, 0.602, 0.095, 0.574, 0.097, g
1, 1.0, 0.455, 1.0, 0.545, 0.818, 0.636, 1.0, -0.091, 1.0, 0.0, 0.818, -0.455, 0.636, 0.273, 1.0, -0.636, 1.0, -0.273, 0.909, -0.455, 1.0, 0.078, 1.0, -0.091, 1.0, 0.089, 1.0, 0.364, 1.0, 0.636, 0.727, 0.273, g
1, -1.0, -0.597, 0.0, 0.0, -1.0, 0.645, -0.871, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.298, 0.234, 1.0, 0.516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 0.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, b
1, 0.923, 0.155, 0.864, 0.298, 0.726, 0.368, 0.706, 0.568, 0.574, 0.627, 0.433, 0.747, 0.317, 0.677, 0.191, 0.768, 0.047, 0.762, -0.121, 0.77, -0.185, 0.713, -0.293, 0.657, -0.388, 0.586, -0.468, 0.501, -0.531, 0.407, -0.562, 0.351, g
1, 0.735, -0.383, 0.802, 0.103, 0.788, 0.153, 0.556, 0.053, 1.0, 0.212, 0.719, 0.29, 0.688, 0.329, 0.497, 0.173, 0.643, -0.028, 0.574, 0.425, 0.531, 0.449, 0.945, 0.575, 0.442, 0.482, 0.125, 1.0, 0.351, 0.497, 0.306, 0.498, g
0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, b
1, 0.763, -0.078, 1.0, -0.296, 1.0, -0.857, 0.8, 0.061, 0.456, -0.428, 1.0, -0.126, 1.0, -0.835, 0.493, 0.019, 0.822, -0.059, 0.982, -0.199, 1.0, 0.22, 0.696, -0.265, 0.921, -0.245, 0.789, 0.02, 0.875, -0.271, 1.0, -0.57, g
1, 0.683, 0.054, 0.848, 0.0020, 0.843, 0.0030, 0.843, 0.099, 0.758, 0.041, 0.819, 0.0060, 0.807, 0.0070, 0.806, -0.124, 0.779, -0.035, 0.764, 0.0090, 0.746, 0.01, 0.796, -0.042, 0.708, 0.011, 0.622, 0.116, 0.666, 0.012, 0.644, 0.012, g
1, 0.881, 0.275, 0.721, 0.429, 0.616, 0.637, 0.388, 0.905, 0.098, 0.961, -0.201, 0.892, -0.357, 0.775, -0.651, 0.622, -0.788, 0.455, -0.819, 0.191, -0.839, -0.081, -0.783, -0.264, -0.676, -0.455, -0.547, -0.609, -0.305, -0.667, -0.193, -0.756, g
1, 0.882, 0.306, 0.732, 0.578, 0.341, 0.585, 0.057, 1.0, -0.092, 0.921, -0.624, 0.72, -0.698, 0.326, -0.814, 0.412, -1.0, -0.0080, -0.79, -0.411, -0.769, -0.455, -0.572, -0.676, -0.316, -0.819, -0.03, -0.868, 0.254, -0.821, 0.0020, -0.817, g
1, 0.834, 0.315, 0.655, 0.577, 0.35, 0.707, 0.173, 0.789, -0.19, 0.799, -0.417, 0.665, -0.684, 0.477, -0.747, 0.195, -0.722, -0.049, -0.62, -0.282, -0.492, -0.535, -0.266, -0.66, -0.015, -0.697, 0.227, -0.644, 0.431, -0.512, 0.647, -0.301, g
1, 0.838, 0.429, 0.721, 0.584, 0.456, 0.781, 0.165, 0.827, -0.13, 0.869, -0.462, 0.785, -0.594, 0.521, -0.785, 0.265, -0.84, 0.039, -0.62, -0.314, -0.474, -0.489, -0.373, -0.678, -0.051, -0.627, 0.147, -0.459, 0.371, -0.392, 0.483, -0.243, g
1, 0.826, 0.082, 0.791, -0.082, 0.904, -0.018, 0.929, 0.011, 0.801, 0.089, 0.947, -0.0070, 0.943, 0.0, 0.933, 0.202, 0.95, -0.0070, 0.915, 0.0070, 0.805, 0.071, 0.911, 0.16, 0.895, 0.082, 0.777, 0.067, 0.926, 0.181, 0.926, 0.0, g
