@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
759.0, -314.0, 898.0, -1743.0, 2003.0, 1117.0, 911.0, 136.0, -489.0, -144.0, 982.0, 112.0, 598.0, 474.0, 2026.0, 1431.0, -336.0, 79.0, 1123.0, 302.0, 1
345.0, -35.0, -3081.0, 2445.0, -1016.0, 671.0, -12.0, 471.0, 143.0, 594.0, -1295.0, 2375.0, -1081.0, 195.0, 244.0, -123.0, -1711.0, -576.0, 2607.0, 3568.0, 0
74.0, 1193.0, 341.0, 62.0, -2109.0, 333.0, -21.0, 2762.0, 356.0, -3916.0, 2528.0, 2466.0, 3257.0, 994.0, -3216.0, 243.0, -1288.0, 53.0, 1199.0, 2526.0, 0
-2897.0, 2689.0, 1745.0, -2662.0, -2081.0, 63.0, -2164.0, -1767.0, -1045.0, 2514.0, 1287.0, -4.0, 2321.0, -1347.0, -2357.0, 1378.0, -48.0, 1135.0, -1886.0, 159.0, 0
-2853.0, -1406.0, -2902.0, -122.0, 88.0, -259.0, 78.0, -6164.0, -3252.0, -485.0, 703.0, -348.0, -317.0, -1046.0, 78.0, 104.0, -3832.0, 47.0, 997.0, 98.0, 0
-148.0, -173.0, 622.0, 1136.0, -249.0, -48.0, 738.0, -101.0, 1266.0, -55.0, -2348.0, 1662.0, 235.0, 163.0, 16.0, 1318.0, 151.0, 422.0, 2022.0, 1138.0, 1
-291.0, -654.0, 1568.0, -2044.0, 3824.0, 457.0, -1116.0, -537.0, -3795.0, 2014.0, 1665.0, -2523.0, 3879.0, -657.0, -1383.0, -203.0, -962.0, -1771.0, -1953.0, -3288.0, 0
34.0, 3296.0, -83.0, -85.0, 959.0, 161.0, 2326.0, -66.0, 1217.0, 237.0, 1228.0, 652.0, -754.0, 887.0, 1781.0, 656.0, 1172.0, 395.0, 988.0, 272.0, 1
747.0, 59.0, -2682.0, 2448.0, -1195.0, 888.0, -383.0, -1535.0, -639.0, -3293.0, 1247.0, -3302.0, -281.0, 1689.0, 414.0, -884.0, 2078.0, 1368.0, 449.0, 2014.0, 0
-552.0, 4628.0, -3037.0, 2506.0, -24.0, 722.0, -1148.0, -218.0, -192.0, 618.0, 842.0, 1747.0, 616.0, -206.0, 1191.0, 239.0, 59.0, -4124.0, -2396.0, -96.0, 0
