@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
531.0, 1374.0, 517.0, 1226.0, 1122.0, -4.0, -1227.0, 2277.0, 1083.0, 888.0, -111.0, 1063.0, 2454.0, 587.0, -744.0, 1216.0, 916.0, -476.0, 6.0, -477.0, 1
-593.0, 878.0, -1045.0, 843.0, -1907.0, -1038.0, 861.0, -1764.0, 487.0, 2143.0, 481.0, 952.0, 939.0, 782.0, 1219.0, -475.0, 1146.0, 221.0, -462.0, -112.0, 1
-892.0, 1352.0, 634.0, 35.0, 506.0, 1136.0, -1563.0, 25.0, -308.0, -1812.0, 606.0, 34.0, 978.0, 258.0, 24.0, 146.0, 1302.0, 142.0, 23.0, 718.0, 1
568.0, 1177.0, 2405.0, 65.0, -942.0, 71.0, 3324.0, -282.0, -297.0, -158.0, -418.0, 1135.0, 1287.0, 512.0, -634.0, -1552.0, 327.0, -502.0, -1106.0, -547.0, 1
-2907.0, -639.0, 1224.0, -2121.0, 3932.0, -2147.0, -1.0, 3571.0, -1833.0, 244.0, -74.0, -3299.0, -521.0, -183.0, 281.0, 1501.0, -447.0, 1403.0, 86.0, 1095.0, 0
244.0, 453.0, 818.0, -3223.0, -2318.0, -95.0, -1738.0, 2462.0, -4581.0, 1753.0, 3709.0, 848.0, 4672.0, -88.0, 948.0, 2745.0, -1111.0, 618.0, 1573.0, -1026.0, 0
698.0, 2911.0, -318.0, -1031.0, 332.0, -1298.0, 1043.0, 2232.0, 1685.0, 1355.0, 623.0, -127.0, 392.0, 749.0, -322.0, -657.0, -879.0, 127.0, -666.0, 19.0, 1
29.0, 1841.0, -222.0, 5183.0, 14.0, -1277.0, 1427.0, -1134.0, -111.0, -1288.0, -1789.0, -828.0, -4637.0, 46.0, 117.0, -1051.0, 848.0, -2997.0, -723.0, 735.0, 0
-437.0, 1061.0, -742.0, 996.0, 57.0, 646.0, 829.0, 1926.0, 1355.0, -307.0, -29.0, 413.0, 2271.0, 463.0, 1383.0, 792.0, 1119.0, 712.0, 1343.0, 1178.0, 1
-833.0, 1462.0, 211.0, 2147.0, 155.0, 364.0, 2224.0, 1709.0, 3048.0, -2469.0, 1035.0, -97.0, -252.0, -258.0, 28.0, 1089.0, -814.0, 154.0, 1288.0, -374.0, 0
108.0, -3234.0, 1868.0, -1689.0, -4033.0, -231.0, 2924.0, 3606.0, 1259.0, -2374.0, 216.0, 2246.0, -572.0, -2175.0, 4215.0, 141.0, 888.0, 2063.0, 1567.0, -1862.0, 0
559.0, 954.0, 2184.0, 108.0, -245.0, 1197.0, -1519.0, -517.0, 1018.0, 479.0, 1453.0, 853.0, 339.0, 76.0, 191.0, -1157.0, 2598.0, 1447.0, 1969.0, -27.0, 1
-629.0, 1305.0, 1945.0, 778.0, 2263.0, -809.0, 1331.0, 924.0, 661.0, -244.0, 131.0, 154.0, 627.0, 123.0, -1073.0, -821.0, 251.0, -43.0, 968.0, 585.0, 1
1392.0, 1066.0, 1567.0, 2092.0, 1129.0, 1494.0, 67.0, 275.0, 13.0, 1059.0, 603.0, 1032.0, 2234.0, 536.0, 281.0, -1003.0, 1621.0, 1372.0, 2353.0, 2559.0, 1
-71.0, 373.0, 1603.0, 1505.0, 83.0, 505.0, 1362.0, -624.0, 31.0, -872.0, 64.0, 799.0, 1837.0, 1299.0, 1822.0, -166.0, -1983.0, 928.0, 658.0, 989.0, 1
335.0, -2282.0, 795.0, -4517.0, 145.0, 139.0, 189.0, 2233.0, -106.0, 1843.0, 4217.0, 1649.0, -655.0, -1661.0, 715.0, 584.0, 109.0, 1126.0, -1131.0, -643.0, 0
-373.0, 797.0, 931.0, 818.0, 1405.0, -124.0, -247.0, -253.0, 388.0, 122.0, 1776.0, 13.0, 1597.0, 579.0, -855.0, 101.0, 661.0, 248.0, 694.0, -1108.0, 1
-526.0, 1665.0, -1604.0, 28.0, -522.0, -2316.0, -132.0, 352.0, -1818.0, -1947.0, -1308.0, -926.0, -69.0, 1203.0, 1212.0, -3303.0, 2275.0, 2427.0, 77.0, 2338.0, 0
-101.0, 1142.0, 34.0, -953.0, -2399.0, 528.0, 1324.0, 932.0, 1149.0, 42.0, -1038.0, 715.0, 602.0, -298.0, 302.0, 1768.0, 1011.0, -131.0, 314.0, 114.0, 1
326.0, 214.0, -98.0, -778.0, -236.0, 151.0, -26.0, -362.0, 1006.0, 227.0, 436.0, 1405.0, -313.0, 588.0, 5.0, -738.0, 3195.0, 494.0, 557.0, 1203.0, 1
3486.0, 186.0, -73.0, 15.0, 251.0, -234.0, -2005.0, 115.0, 358.0, -1624.0, 1706.0, 101.0, -1072.0, 1114.0, -52.0, 1357.0, 2092.0, -886.0, -894.0, -1357.0, 0
903.0, -946.0, 1487.0, 198.0, 737.0, 1342.0, -704.0, 362.0, 606.0, 579.0, -412.0, -915.0, -1816.0, 782.0, -12.0, 37.0, -155.0, -168.0, 1369.0, 255.0, 1
-1274.0, 678.0, 784.0, 278.0, 1226.0, -251.0, 7.0, 932.0, 269.0, -648.0, 1733.0, -181.0, 1562.0, -758.0, 273.0, 728.0, 172.0, -15.0, 172.0, 612.0, 1
