@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
2563.0, -1449.0, 1505.0, -2023.0, -1027.0, 2366.0, 556.0, -1954.0, 4122.0, 2748.0, -1536.0, 3128.0, -151.0, -132.0, 721.0, 2122.0, -2611.0, -2612.0, -473.0, 68.0, 0
1143.0, 618.0, 1154.0, 2162.0, 868.0, -76.0, 205.0, -64.0, 639.0, -33.0, 261.0, 604.0, -707.0, 39.0, 124.0, 551.0, 73.0, 701.0, 184.0, 803.0, 1
832.0, 873.0, 238.0, -1591.0, 264.0, -1102.0, 1267.0, -174.0, -18.0, 874.0, -492.0, 66.0, 1956.0, 2323.0, -1366.0, 338.0, -396.0, 1061.0, -792.0, -96.0, 0
146.0, 289.0, 1366.0, -877.0, 146.0, 8.0, 624.0, 149.0, 567.0, 11.0, 96.0, 2627.0, -442.0, -988.0, 1791.0, 876.0, -249.0, 2676.0, 484.0, 866.0, 1
67.0, 1762.0, 983.0, 605.0, 822.0, 138.0, 107.0, 1678.0, -296.0, -361.0, 192.0, 1324.0, 277.0, -0.0, 2093.0, -408.0, 1708.0, -638.0, -1745.0, 884.0, 1
-831.0, 127.0, -764.0, -1826.0, 264.0, -2861.0, -3332.0, 1673.0, -843.0, -793.0, -3285.0, -805.0, 1342.0, 581.0, -1053.0, -5426.0, -1076.0, 1226.0, -412.0, 66.0, 0
-19.0, 94.0, 1245.0, 171.0, 1737.0, 1723.0, 137.0, -1271.0, -516.0, -294.0, 93.0, 1483.0, 362.0, 1771.0, 2478.0, -1234.0, 988.0, 519.0, 434.0, -906.0, 1
44.0, -869.0, 172.0, -166.0, 695.0, -176.0, 1778.0, -19.0, 544.0, 1517.0, 119.0, 1822.0, 1042.0, -282.0, 147.0, 1595.0, -385.0, 1163.0, 153.0, 52.0, 1
4598.0, 2052.0, -1524.0, -305.0, -2826.0, 838.0, 2959.0, -1126.0, 568.0, -615.0, -3212.0, 2366.0, -49.0, -1655.0, -24.0, 303.0, -3876.0, -2042.0, 2629.0, 85.0, 0
44.0, 589.0, -291.0, 1113.0, 782.0, -4.0, 115.0, 607.0, 2198.0, -132.0, 426.0, 418.0, 926.0, 892.0, 625.0, 53.0, 552.0, 1519.0, 231.0, 651.0, 1
401.0, 346.0, -4165.0, -1196.0, 816.0, -99.0, 1199.0, 3642.0, 3732.0, -9.0, 3515.0, -3411.0, 304.0, 221.0, -96.0, 728.0, 1364.0, -761.0, -2901.0, 2671.0, 0
-723.0, 2776.0, 85.0, 889.0, 1126.0, 1388.0, 72.0, 1731.0, 322.0, -231.0, 672.0, 818.0, 144.0, 18.0, 524.0, -955.0, -645.0, -36.0, 502.0, 338.0, 1
1685.0, -804.0, -1855.0, 1678.0, 2358.0, -3178.0, 2904.0, 8.0, -2967.0, -698.0, -2378.0, 3102.0, 2801.0, 108.0, 121.0, 3129.0, -1809.0, 1265.0, 774.0, -1516.0, 0
3219.0, -448.0, 419.0, 1118.0, 64.0, 374.0, -175.0, 2227.0, -123.0, 101.0, -137.0, -165.0, 3321.0, -3406.0, 2783.0, -2099.0, 204.0, 2852.0, 3198.0, 734.0, 0
