@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
1144.0, 346.0, 77.0, 112.0, 146.0, 1337.0, 174.0, 23.0, 1299.0, -6.0, -801.0, -32.0, 398.0, -434.0, 1956.0, 109.0, -242.0, 1629.0, -81.0, -572.0, 1
697.0, 1029.0, -459.0, -3736.0, -2565.0, 3389.0, -892.0, -1674.0, -1966.0, -482.0, -727.0, -512.0, -331.0, 717.0, 1628.0, 155.0, -531.0, -1083.0, 124.0, -1507.0, 0
903.0, -158.0, -151.0, 857.0, 1722.0, -1657.0, 4326.0, 817.0, 878.0, -1484.0, 2662.0, 1.0, -289.0, -937.0, 1265.0, 591.0, -442.0, -1687.0, -1546.0, 2924.0, 0
626.0, 2194.0, 994.0, 1881.0, 724.0, -37.0, 1615.0, 805.0, 709.0, 1182.0, 117.0, 1119.0, -487.0, -376.0, -787.0, 1315.0, 727.0, -1318.0, 1315.0, -139.0, 1
2019.0, -787.0, 2098.0, 557.0, 1907.0, -937.0, -934.0, 284.0, 255.0, 2256.0, -292.0, -848.0, 795.0, -17.0, 2041.0, 2964.0, -218.0, 1198.0, 77.0, -1256.0, 1
1306.0, 909.0, 504.0, 594.0, 118.0, -341.0, 14.0, -61.0, 12.0, 133.0, 1559.0, -202.0, 2786.0, 3866.0, 3054.0, 261.0, -572.0, -656.0, 745.0, -573.0, 1
449.0, 985.0, 837.0, -312.0, 4343.0, 94.0, -517.0, -2368.0, -959.0, 896.0, -1683.0, -1285.0, -114.0, -26.0, 1408.0, -1306.0, -1231.0, 1928.0, -2833.0, -1164.0, 0
1262.0, 518.0, 2864.0, -1292.0, -5078.0, -47.0, 313.0, 417.0, -3454.0, -503.0, 2544.0, 1316.0, 1242.0, -37.0, -2825.0, 198.0, 1296.0, -3698.0, 1378.0, 2362.0, 0
3333.0, 1133.0, 1623.0, -1915.0, 2069.0, 2144.0, 457.0, 814.0, 9.0, 97.0, 1708.0, -4284.0, 2354.0, -2837.0, 3227.0, -465.0, -2107.0, 584.0, -875.0, 2097.0, 0
244.0, 355.0, 1602.0, 1038.0, 1237.0, 1995.0, 1564.0, 251.0, 859.0, -196.0, 173.0, 1339.0, -92.0, -901.0, 632.0, -146.0, 25.0, 1196.0, 1804.0, 45.0, 1
-1503.0, -151.0, -995.0, 611.0, -108.0, 1.0, 314.0, 1841.0, 796.0, 1623.0, -686.0, 1673.0, -332.0, 2293.0, 2255.0, 132.0, 275.0, 31.0, -907.0, 1251.0, 1
1333.0, 183.0, 883.0, -1837.0, 423.0, -29.0, 366.0, 1246.0, 1373.0, 881.0, -8.0, 1697.0, -227.0, 2506.0, 576.0, 664.0, -812.0, -998.0, 718.0, 21.0, 1
-2158.0, 854.0, 3823.0, -1506.0, -1497.0, -1432.0, -1768.0, -1784.0, 2209.0, 795.0, 1573.0, 2967.0, -286.0, -1593.0, -1334.0, 2153.0, 1838.0, -2576.0, -1016.0, -1115.0, 0
1605.0, -157.0, 75.0, 1598.0, 1198.0, -595.0, 858.0, -72.0, -1553.0, -261.0, 1717.0, -389.0, 1559.0, 67.0, 1356.0, 933.0, 733.0, 106.0, 818.0, 4.0, 1
585.0, -3.0, 207.0, 1749.0, 791.0, 1504.0, 147.0, 732.0, -2265.0, -53.0, 98.0, -848.0, 1097.0, -26.0, 1042.0, -683.0, 701.0, -454.0, 1598.0, 946.0, 1
-77.0, 1435.0, -1635.0, 709.0, -1179.0, -17.0, 351.0, 132.0, 1216.0, 463.0, 608.0, 931.0, 5.0, 599.0, 313.0, -1229.0, -229.0, 12.0, -467.0, 371.0, 1
-695.0, -254.0, 3166.0, 152.0, -205.0, -1182.0, 347.0, 1631.0, 2887.0, 3548.0, -543.0, 334.0, -438.0, 388.0, -492.0, 357.0, 1232.0, -2573.0, -3383.0, -383.0, 0
1195.0, -823.0, 448.0, -2031.0, -147.0, 947.0, 608.0, 282.0, -636.0, -73.0, -1408.0, -147.0, 18.0, -43.0, 756.0, 326.0, 543.0, 818.0, -1435.0, 203.0, 1
1382.0, -1521.0, 1668.0, 266.0, 1673.0, -337.0, -244.0, -408.0, -16.0, -272.0, 1068.0, -959.0, 169.0, 2835.0, -278.0, 708.0, 759.0, 579.0, -836.0, -37.0, 1
1562.0, 1386.0, -1497.0, 42.0, -555.0, -105.0, 773.0, -349.0, -682.0, 2043.0, 237.0, -405.0, 1669.0, 1856.0, 46.0, 1358.0, 43.0, 754.0, 1237.0, 974.0, 1
602.0, 39.0, 59.0, 823.0, 972.0, 1654.0, 1064.0, 138.0, 606.0, -258.0, 1144.0, -915.0, -404.0, 1674.0, -383.0, 401.0, 309.0, 1305.0, -229.0, -49.0, 1
-301.0, 955.0, 2069.0, -1359.0, 925.0, 1428.0, -1092.0, 1255.0, 636.0, 598.0, 324.0, -949.0, 608.0, 673.0, 1491.0, 101.0, -322.0, -1088.0, 1558.0, 2145.0, 1
-433.0, -763.0, 1173.0, 891.0, 3192.0, -3852.0, -73.0, 2161.0, 173.0, -755.0, -2609.0, 125.0, -1432.0, -2073.0, -2682.0, -585.0, 1688.0, -4769.0, 1186.0, -558.0, 0
-321.0, 2073.0, -4109.0, 129.0, 1142.0, -2212.0, 308.0, 1013.0, 125.0, -1912.0, 1785.0, -4759.0, -3959.0, -1147.0, 158.0, -2337.0, 1627.0, -15.0, 3297.0, 68.0, 0
348.0, 31.0, -182.0, -1121.0, 3133.0, -155.0, 854.0, 1067.0, 1829.0, -357.0, 1618.0, -466.0, 51.0, 1214.0, 965.0, 999.0, -428.0, -125.0, -839.0, 338.0, 1
1622.0, -1218.0, -1277.0, -3787.0, -706.0, -3461.0, 3581.0, 2866.0, -424.0, 2804.0, -2826.0, 374.0, 2195.0, -5771.0, -565.0, 2938.0, 3.0, -84.0, -315.0, 59.0, 0
1437.0, -3662.0, -2989.0, 246.0, 1676.0, -1487.0, 879.0, 2262.0, -69.0, -1044.0, 1442.0, -437.0, -2184.0, 552.0, 1612.0, 2511.0, 207.0, 4024.0, 4011.0, -3193.0, 0
-1387.0, -59.0, -243.0, -1917.0, 1039.0, 2253.0, 6.0, -3447.0, 829.0, 2507.0, -713.0, 554.0, 3179.0, -1816.0, -2961.0, -3894.0, -82.0, 1323.0, 2298.0, -1727.0, 0
858.0, 26.0, 119.0, -759.0, 1458.0, -138.0, 1732.0, 1852.0, 403.0, 1525.0, -1064.0, -112.0, 297.0, 39.0, 308.0, -878.0, 1628.0, -836.0, -736.0, 719.0, 1
1086.0, -501.0, -549.0, 469.0, -473.0, 258.0, 1092.0, 473.0, 184.0, 1251.0, -216.0, 2225.0, -69.0, -818.0, 186.0, -942.0, 276.0, -458.0, -123.0, 1.0, 1
-958.0, 871.0, 613.0, -408.0, 2051.0, 1113.0, 45.0, -536.0, 1423.0, 582.0, 511.0, -315.0, 516.0, 1568.0, 173.0, -15.0, 113.0, 108.0, 1634.0, 102.0, 1
1138.0, 1498.0, -95.0, 983.0, 436.0, 731.0, -1397.0, -86.0, 1467.0, 1.0, -252.0, 1605.0, -168.0, 376.0, 115.0, -161.0, -1868.0, 199.0, 632.0, -261.0, 1
-59.0, -148.0, 1545.0, -1082.0, 394.0, -527.0, -784.0, 651.0, -372.0, -2017.0, -263.0, -61.0, -433.0, 99.0, -263.0, 912.0, 49.0, 46.0, -283.0, 217.0, 1
-43.0, 813.0, 1286.0, 892.0, 151.0, -36.0, 312.0, 5.0, 1895.0, 1706.0, -842.0, 267.0, 664.0, 2195.0, 1048.0, 1756.0, 3.0, 1369.0, 755.0, 607.0, 1
-26.0, 224.0, 1107.0, 904.0, 1666.0, 1633.0, 285.0, 2314.0, 733.0, 747.0, 1643.0, 358.0, 6.0, 644.0, 3.0, 344.0, 1409.0, 112.0, 1985.0, 1375.0, 1
-394.0, -1065.0, 999.0, 349.0, 1232.0, -1574.0, 616.0, -282.0, 122.0, 114.0, -5.0, -1853.0, -22.0, -273.0, -2425.0, 2116.0, -29.0, -1179.0, 592.0, -857.0, 0
646.0, -1328.0, -706.0, 2182.0, -343.0, 1633.0, 178.0, 1231.0, 1976.0, -2354.0, 1179.0, -2175.0, 909.0, -2712.0, 578.0, 202.0, 185.0, 361.0, -382.0, 1221.0, 1
