@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
-1443.0, 1065.0, 2071.0, 207.0, -865.0, -786.0, 2655.0, -366.0, 971.0, -341.0, 221.0, 4195.0, -117.0, -2694.0, 14.0, 4097.0, 1356.0, -944.0, -602.0, 2348.0, 0
-984.0, 792.0, 831.0, 21.0, 1531.0, 1739.0, 2641.0, 105.0, 554.0, -236.0, -651.0, 605.0, 2459.0, -1611.0, 1964.0, -201.0, -1229.0, -826.0, -1822.0, 1662.0, 1
1007.0, 242.0, 1601.0, 1689.0, -373.0, -1713.0, 2086.0, 74.0, 965.0, 2.0, -381.0, -51.0, -734.0, -1066.0, -1293.0, 692.0, 1072.0, -815.0, -6.0, 274.0, 1
2212.0, -1694.0, -533.0, 67.0, -1763.0, 9.0, -882.0, 1158.0, -516.0, 1889.0, -853.0, -1129.0, -134.0, -1822.0, 303.0, -1829.0, -281.0, 3215.0, -505.0, -1286.0, 0
2891.0, -608.0, -633.0, 2319.0, 3843.0, -335.0, 2522.0, 2787.0, -2532.0, 1289.0, 1971.0, 5856.0, -486.0, -3639.0, -1547.0, 105.0, -1834.0, -325.0, 988.0, -2407.0, 0
-179.0, -1441.0, 1915.0, 1579.0, 2042.0, -728.0, 1632.0, 275.0, 209.0, 211.0, 1144.0, 1236.0, -1295.0, 2962.0, 2515.0, 1756.0, 1248.0, -343.0, 1861.0, 86.0, 1
-826.0, -1342.0, 48.0, -3042.0, 1732.0, 604.0, -397.0, -138.0, -1372.0, 329.0, -3635.0, 1057.0, -215.0, -505.0, 4745.0, 128.0, 2863.0, 3987.0, -536.0, -993.0, 0
-584.0, 925.0, 33.0, -405.0, 522.0, -1236.0, 484.0, -278.0, 343.0, 72.0, 441.0, -2654.0, 1832.0, 3242.0, 1437.0, 8.0, -522.0, 324.0, 1665.0, 945.0, 1
694.0, 164.0, 589.0, 1435.0, -172.0, 1297.0, -868.0, -27.0, -412.0, 1856.0, -148.0, -821.0, -572.0, -2203.0, -178.0, 431.0, 851.0, -1091.0, 1112.0, 103.0, 1
-1171.0, -233.0, -3156.0, -614.0, -46.0, 105.0, 882.0, 1384.0, -2264.0, -2675.0, -1195.0, 268.0, 656.0, 2906.0, 1167.0, 216.0, -1282.0, 1378.0, 2773.0, 912.0, 0
-2142.0, -29.0, 582.0, 62.0, -608.0, -2136.0, 541.0, -498.0, 646.0, 1036.0, -281.0, 1723.0, 2235.0, 38.0, -1929.0, -1186.0, 164.0, 3076.0, -1525.0, 578.0, 0
-1508.0, 3214.0, -142.0, 882.0, 1349.0, 1039.0, -2.0, 101.0, 731.0, 419.0, -1042.0, 2459.0, 833.0, 746.0, 463.0, 956.0, 1408.0, 276.0, -19.0, 6.0, 1
-296.0, 854.0, 54.0, -417.0, 142.0, -4889.0, -1805.0, -4748.0, 3541.0, -863.0, 132.0, -2251.0, -1207.0, -2987.0, -743.0, -925.0, 1872.0, 213.0, 1044.0, 2491.0, 0
-333.0, -1463.0, -357.0, -44.0, 552.0, -1221.0, 41.0, 671.0, 1643.0, 1134.0, 876.0, 1832.0, 272.0, 2038.0, 1744.0, 864.0, 174.0, -84.0, 27.0, 78.0, 1
1428.0, 626.0, 1582.0, 36.0, 746.0, -66.0, -48.0, 23.0, 1596.0, 765.0, -123.0, 426.0, 2061.0, 99.0, 1794.0, 1345.0, 1072.0, -1371.0, 1341.0, -434.0, 1
-3424.0, 3879.0, 1337.0, -764.0, -587.0, 926.0, 13.0, -1544.0, 426.0, 3462.0, 2078.0, -208.0, -157.0, -335.0, -2248.0, 457.0, 654.0, -3478.0, 1964.0, 3723.0, 0
