@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
1, 1742.0, 65.0, 2, 3, 4, 125.0, 0, 0, 0, 0, 2, 60, 101, 0
1, 225.0, 125.0, 1, 4, 4, 125.0, 0, 0, 0, 0, 2, 200, 71, 0
1, 3317.0, 304.0, 1, 8, 8, 204.0, 1, 1, 1, 1, 2, 180, 18028, 1
0, 4742.0, 3.0, 2, 14, 4, 13875.0, 1, 1, 2, 1, 2, 519, 1705, 1
0, 2075.0, 1025.0, 2, 11, 4, 71.0, 1, 1, 2, 1, 2, 49, 1, 1
0, 245.0, 175.0, 1, 8, 4, 165.0, 0, 0, 0, 0, 2, 132, 1, 0
1, 4317.0, 5.0, 2, 3, 5, 225.0, 0, 0, 0, 1, 2, 141, 1, 0
0, 245.0, 5.0, 2, 11, 8, 15.0, 1, 0, 0, 0, 2, 280, 825, 1
0, 195.0, 165.0, 2, 11, 4, 4.0, 0, 0, 0, 1, 2, 380, 1, 0
1, 215.0, 115.0, 2, 3, 4, 5.0, 1, 0, 0, 1, 2, 100, 69, 0
1, 2308.0, 0.0, 2, 4, 4, 1.0, 0, 1, 11, 0, 1, 0, 1, 0
0, 47.0, 13.0, 2, 3, 5, 5165.0, 1, 1, 9, 1, 2, 0, 1, 1
1, 3417.0, 525.0, 2, 9, 4, 85.0, 0, 0, 0, 1, 2, 290, 7, 1
1, 2225.0, 9.0, 2, 6, 4, 85.0, 0, 0, 0, 0, 2, 0, 1, 0
0, 3575.0, 915.0, 2, 6, 4, 75.0, 1, 1, 4, 0, 2, 0, 1584, 1
1, 2275.0, 11.0, 2, 11, 4, 25.0, 1, 1, 7, 1, 2, 100, 810, 1
1, 2892.0, 375.0, 2, 8, 4, 29.0, 0, 0, 0, 0, 2, 220, 141, 0
0, 2083.0, 5.0, 1, 10, 2, 1.0, 0, 0, 0, 0, 2, 260, 1, 0
0, 4608.0, 3.0, 2, 8, 4, 2375.0, 1, 1, 8, 1, 2, 396, 4160, 1
1, 1883.0, 354.0, 1, 1, 1, 0.0, 0, 0, 0, 1, 2, 180, 2, 0
1, 2567.0, 125.0, 2, 13, 4, 121.0, 1, 1, 67, 1, 2, 140, 259, 1
0, 2975.0, 665.0, 2, 9, 4, 25.0, 0, 0, 0, 1, 2, 300, 1, 0
1, 2942.0, 125.0, 2, 8, 8, 25.0, 0, 1, 2, 1, 2, 400, 109, 0
1, 3617.0, 55.0, 2, 3, 5, 5.0, 0, 0, 0, 0, 2, 210, 688, 0
1, 195.0, 29.0, 2, 4, 4, 29.0, 0, 0, 0, 0, 2, 280, 365, 0
