@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
1, 4117.0, 1335.0, 2, 2, 4, 165.0, 0, 0, 0, 0, 2, 168, 1, 0
1, 5675.0, 1225.0, 2, 7, 4, 125.0, 1, 1, 4, 1, 2, 200, 1, 1
0, 1817.0, 10.0, 1, 11, 8, 165.0, 0, 0, 0, 0, 2, 340, 1, 0
1, 3233.0, 25.0, 2, 8, 4, 125.0, 0, 0, 0, 1, 2, 280, 1, 0
0, 2225.0, 125.0, 1, 1, 1, 325.0, 0, 0, 0, 0, 2, 280, 1, 0
0, 1592.0, 2875.0, 2, 11, 4, 85.0, 0, 0, 0, 0, 2, 120, 1, 0
1, 3483.0, 4.0, 2, 2, 5, 125.0, 1, 0, 0, 1, 2, 184, 1, 0
1, 1842.0, 10415.0, 1, 6, 4, 125.0, 1, 0, 0, 0, 2, 120, 376, 0
0, 5333.0, 165.0, 2, 1, 1, 0.0, 0, 0, 0, 1, 1, 62, 28, 0
1, 2333.0, 11625.0, 1, 9, 4, 835.0, 1, 0, 0, 1, 2, 160, 301, 1
1, 3458.0, 0.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 3, 184, 1, 0
1, 375.0, 1125.0, 1, 2, 4, 15.0, 0, 0, 0, 1, 2, 431, 1, 1
1, 2267.0, 105.0, 2, 11, 8, 1335.0, 1, 0, 0, 0, 2, 100, 1, 1
0, 3192.0, 3125.0, 2, 1, 1, 304.0, 0, 1, 2, 1, 2, 200, 5, 0
1, 2483.0, 275.0, 2, 8, 4, 225.0, 1, 1, 6, 0, 2, 184, 601, 1
0, 3157.0, 15.0, 2, 1, 1, 0.0, 0, 1, 2, 1, 2, 200, 106, 0
1, 3667.0, 4415.0, 1, 4, 4, 25.0, 1, 1, 10, 1, 2, 320, 1, 1
0, 5192.0, 65.0, 2, 3, 5, 3085.0, 0, 0, 0, 1, 2, 73, 1, 0
0, 6092.0, 5.0, 2, 6, 4, 4.0, 1, 1, 4, 0, 2, 0, 100, 1
0, 1883.0, 4415.0, 1, 8, 8, 3.0, 1, 0, 0, 0, 2, 240, 1, 1
1, 3157.0, 4.0, 2, 14, 4, 5.0, 1, 1, 3, 1, 2, 290, 2280, 1
1, 3108.0, 3085.0, 2, 8, 4, 25.0, 0, 1, 2, 1, 2, 160, 42, 0
1, 2725.0, 1665.0, 2, 13, 8, 5085.0, 1, 1, 9, 0, 2, 399, 828, 1
1, 3075.0, 1585.0, 2, 2, 4, 585.0, 0, 0, 0, 1, 1, 0, 1, 0
0, 2083.0, 3.0, 2, 6, 4, 4.0, 1, 0, 0, 0, 2, 100, 1, 1
1, 2825.0, 875.0, 2, 7, 4, 96.0, 1, 1, 3, 1, 2, 396, 1, 1
1, 3908.0, 6.0, 2, 7, 4, 129.0, 1, 1, 5, 1, 2, 108, 1098, 1
1, 1708.0, 329.0, 2, 3, 4, 335.0, 0, 0, 0, 1, 2, 140, 3, 0
1, 3858.0, 3335.0, 2, 9, 4, 4.0, 1, 1, 14, 0, 2, 383, 1345, 1
0, 295.0, 1085.0, 1, 14, 4, 1.0, 0, 0, 0, 0, 2, 280, 14, 0
1, 27.0, 15.0, 1, 9, 4, 375.0, 1, 0, 0, 1, 2, 260, 1066, 1
0, 3233.0, 54.0, 2, 13, 4, 4.0, 1, 0, 0, 0, 2, 440, 11178, 1
1, 2983.0, 125.0, 1, 4, 4, 25.0, 0, 0, 0, 0, 2, 224, 1, 0
1, 34.0, 45.0, 2, 6, 4, 1.0, 1, 0, 0, 1, 2, 240, 1, 0
1, 2442.0, 2.0, 2, 10, 2, 165.0, 0, 1, 2, 0, 2, 320, 1301, 0
1, 2308.0, 115.0, 2, 3, 4, 35.0, 1, 1, 9, 0, 2, 56, 743, 1
1, 2358.0, 46.0, 1, 9, 4, 2625.0, 1, 1, 6, 1, 2, 208, 348, 0
1, 3157.0, 5.0, 1, 6, 4, 85.0, 1, 0, 0, 0, 2, 0, 1, 0
1, 2042.0, 0.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 3, 184, 1, 0
0, 2525.0, 135.0, 1, 1, 1, 2.0, 0, 1, 1, 1, 2, 200, 2, 0
1, 3983.0, 5.0, 2, 7, 4, 25.0, 1, 0, 0, 0, 1, 288, 1, 0
1, 2575.0, 75.0, 2, 8, 5, 25.0, 1, 0, 0, 0, 2, 349, 24, 1
0, 2867.0, 104.0, 2, 8, 4, 25.0, 1, 1, 5, 1, 2, 300, 1431, 1
1, 2042.0, 7.0, 2, 8, 4, 1625.0, 1, 1, 3, 0, 2, 200, 1392, 1
1, 3483.0, 25.0, 1, 9, 4, 3.0, 0, 0, 0, 0, 1, 200, 1, 0
1, 2142.0, 75.0, 1, 12, 7, 75.0, 0, 0, 0, 1, 2, 132, 3, 0
1, 28.0, 3.0, 2, 9, 4, 75.0, 0, 0, 0, 1, 2, 300, 68, 0
0, 4158.0, 104.0, 2, 6, 4, 665.0, 0, 0, 0, 0, 2, 240, 238, 0
0, 3325.0, 25.0, 1, 8, 4, 25.0, 0, 0, 0, 1, 2, 0, 3, 0
0, 45.0, 4585.0, 2, 4, 8, 1.0, 0, 0, 0, 1, 1, 240, 1, 0
0, 2542.0, 1125.0, 2, 11, 4, 129.0, 1, 1, 2, 0, 2, 200, 1, 0
1, 4058.0, 15.0, 2, 3, 5, 0.0, 0, 0, 0, 0, 1, 300, 1, 0
1, 56.0, 125.0, 2, 4, 8, 8.0, 1, 0, 0, 1, 2, 24, 2029, 1
1, 3208.0, 4.0, 2, 7, 4, 25.0, 1, 0, 0, 1, 2, 360, 1, 1
0, 3825.0, 6.0, 2, 4, 4, 1.0, 1, 0, 0, 1, 2, 0, 1, 1
1, 205.0, 10.0, 1, 8, 4, 25.0, 1, 0, 0, 0, 1, 40, 1, 1
1, 4192.0, 42.0, 2, 8, 8, 21.0, 1, 1, 6, 0, 2, 220, 949, 1
0, 2325.0, 5875.0, 2, 11, 4, 317.0, 1, 1, 10, 0, 2, 120, 246, 1
1, 2833.0, 5.0, 2, 9, 4, 11.0, 1, 0, 0, 1, 2, 70, 1, 1
0, 2858.0, 1665.0, 2, 11, 4, 2415.0, 1, 0, 0, 1, 2, 440, 1, 0
0, 245.0, 104.0, 1, 1, 1, 5.0, 1, 1, 3, 0, 2, 180, 148, 0
1, 2458.0, 125.0, 2, 8, 4, 25.0, 0, 0, 0, 0, 2, 110, 1, 0
1, 4817.0, 35.0, 2, 6, 4, 35.0, 1, 0, 0, 0, 1, 230, 1, 1
1, 2617.0, 835.0, 2, 13, 4, 1165.0, 0, 0, 0, 0, 2, 100, 1, 0
1, 235.0, 3165.0, 1, 4, 4, 415.0, 0, 1, 1, 1, 2, 280, 81, 0
0, 2608.0, 8665.0, 2, 6, 4, 1415.0, 1, 0, 0, 0, 2, 160, 151, 1
1, 3157.0, 4.0, 1, 3, 4, 85.0, 0, 0, 0, 1, 2, 411, 1, 0
1, 4858.0, 205.0, 1, 4, 4, 25.0, 1, 1, 11, 0, 2, 380, 2733, 1
1, 2067.0, 415.0, 2, 8, 4, 125.0, 0, 0, 0, 0, 2, 0, 45, 0
