@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
0, 2958.0, 175.0, 1, 4.0, 4.0, 125.0, 0, 0, 0.0, 1, 2, 280.0, 1.0, 0
1, 2783.0, 1.0, 1, 2.0, 8.0, 3.0, 0, 0, 0.0, 0, 2, 176.0, 538.0, 0
1, 27.0, 75.0, 2, 8.0, 8.0, 425.0, 1, 1, 3.0, 1, 2, 312.0, 151.0, 1
1, 2308.0, 115.0, 2, 9.0, 8.0, 2125.0, 1, 1, 11.0, 1, 2, 290.0, 285.0, 1
1, 4283.0, 125.0, 2, 7.0, 4.0, 13875.0, 0, 1, 1.0, 1, 2, 352.0, 113.0, 0
0, 4775.0, 8.0, 2, 8.0, 4.0, 7875.0, 1, 1, 6.0, 1, 2, 0.0, 1261.0, 1
1, 2258.0, 15.0, 1, 6.0, 4.0, 54.0, 0, 0, 0.0, 1, 2, 120.0, 68.0, 0
1, 2108.0, 4125.0, 1, 3.0, 8.0, 4.0, 0, 0, 0.0, 0, 2, 140.0, 101.0, 0
1, 4875.0, 26335.0, 1, 1.0, 1.0, 0.0, 1, 0, 0.0, 1, 2, 0.0, 1.0, 0
1, 4025.0, 215.0, 2, 10.0, 9.0, 20.0, 1, 1, 11.0, 0, 2, 0.0, 1201.0, 1
1, 2558.0, 335.0, 2, 4.0, 8.0, 35.0, 0, 0, 0.0, 1, 2, 340.0, 1.0, 0
1, 2983.0, 35.0, 2, 8.0, 4.0, 165.0, 0, 0, 0.0, 0, 2, 216.0, 1.0, 0
1, 3992.0, 5.0, 2, 3.0, 5.0, 21.0, 0, 0, 0.0, 0, 2, 550.0, 1.0, 0
1, 2217.0, 585.0, 1, 1.0, 1.0, 0.0, 0, 0, 0.0, 0, 2, 100.0, 1.0, 0
0, 1733.0, 95.0, 2, 6.0, 4.0, 175.0, 0, 1, 10.0, 1, 2, 0.0, 11.0, 0
0, 2042.0, 835.0, 2, 11.0, 4.0, 1585.0, 1, 1, 1.0, 0, 2, 0.0, 1.0, 1
1, 2767.0, 1375.0, 2, 9.0, 4.0, 575.0, 1, 0, 0.0, 1, 2, 487.0, 501.0, 1
1, 2767.0, 2.0, 2, 14.0, 8.0, 1.0, 1, 1, 4.0, 0, 2, 140.0, 7545.0, 1
1, 3825.0, 10125.0, 1, 4.0, 4.0, 125.0, 0, 0, 0.0, 0, 2, 160.0, 1.0, 0
0, 3875.0, 15.0, 2, 1.0, 1.0, 0.0, 0, 0, 0.0, 0, 2, 76.0, 1.0, 0
0, 5708.0, 195.0, 2, 8.0, 4.0, 55.0, 1, 1, 7.0, 0, 2, 0.0, 3001.0, 1
1, 2458.0, 135.0, 1, 1.0, 1.0, 0.0, 0, 0, 0.0, 0, 2, 184.0, 1.0, 0
0, 265.0, 271.0, 1, 8.0, 4.0, 85.0, 0, 0, 0.0, 0, 1, 80.0, 1.0, 0
1, 1958.0, 585.0, 2, 1.0, 1.0, 0.0, 0, 1, 3.0, 0, 2, 350.0, 770.0, 0
0, 6867.0, 15.0, 2, 10.0, 9.0, 0.0, 1, 1, 14.0, 0, 2, 0.0, 3377.0, 1
0, 4742.0, 8.0, 2, 10.0, 5.0, 65.0, 1, 1, 6.0, 0, 2, 375.0, 51101.0, 1
1, 2317.0, 0.0, 2, 8.0, 4.0, 0.0, 0, 0, 0.0, 0, 3, 184.0, 1.0, 1
1, 1883.0, 415.0, 1, 8.0, 4.0, 165.0, 0, 1, 1.0, 0, 2, 200.0, 2.0, 0
0, 3308.0, 1625.0, 2, 2.0, 4.0, 54.0, 0, 0, 0.0, 1, 2, 0.0, 1.0, 0
1, 2267.0, 75.0, 2, 3.0, 4.0, 1585.0, 0, 1, 1.0, 1, 2, 400.0, 10.0, 0
1, 3525.0, 3165.0, 2, 14.0, 8.0, 375.0, 1, 0, 0.0, 1, 2, 680.0, 1.0, 0
1, 4217.0, 504.0, 2, 11.0, 8.0, 1275.0, 1, 0, 0.0, 1, 2, 92.0, 1.0, 1
1, 2625.0, 154.0, 2, 9.0, 4.0, 125.0, 0, 0, 0.0, 0, 2, 100.0, 1.0, 0
1, 2925.0, 1479.0, 2, 6.0, 4.0, 504.0, 1, 1, 5.0, 1, 2, 168.0, 1.0, 1
1, 2342.0, 585.0, 2, 8.0, 8.0, 85.0, 1, 0, 0.0, 0, 2, 180.0, 1.0, 0
1, 1708.0, 25.0, 2, 11.0, 4.0, 335.0, 0, 1, 4.0, 0, 2, 160.0, 9.0, 0
0, 2533.0, 2085.0, 2, 8.0, 8.0, 275.0, 1, 0, 0.0, 1, 2, 360.0, 2.0, 0
0, 2475.0, 3.0, 2, 11.0, 8.0, 1835.0, 1, 1, 19.0, 0, 2, 0.0, 501.0, 1
1, 3083.0, 0.0, 2, 9.0, 4.0, 125.0, 1, 1, 1.0, 0, 2, 202.0, 1.0, 1
1, 4092.0, 5.0, 1, 7.0, 4.0, 5.0, 0, 0, 0.0, 1, 2, 130.0, 1.0, 0
1, 2417.0, 875.0, 2, 11.0, 4.0, 4625.0, 1, 1, 2.0, 1, 2, 520.0, 2001.0, 1
1, 20.0, 7.0, 2, 8.0, 4.0, 5.0, 0, 0, 0.0, 0, 2, 0.0, 1.0, 0
0, 2067.0, 3.0, 2, 11.0, 4.0, 165.0, 1, 1, 3.0, 0, 2, 100.0, 7.0, 1
1, 3517.0, 25.0, 2, 4.0, 4.0, 45.0, 1, 1, 7.0, 0, 2, 150.0, 1271.0, 1
0, 4083.0, 10.0, 2, 11.0, 8.0, 175.0, 1, 0, 0.0, 0, 2, 29.0, 838.0, 1
1, 485.0, 425.0, 2, 7.0, 4.0, 125.0, 1, 0, 0.0, 1, 2, 225.0, 1.0, 1
0, 2508.0, 254.0, 1, 6.0, 4.0, 25.0, 1, 0, 0.0, 1, 2, 370.0, 1.0, 1
1, 3633.0, 2125.0, 1, 9.0, 4.0, 85.0, 1, 1, 1.0, 0, 2, 50.0, 1188.0, 1
1, 2217.0, 12125.0, 2, 8.0, 4.0, 3335.0, 0, 1, 2.0, 1, 2, 180.0, 174.0, 0
1, 2858.0, 3625.0, 2, 6.0, 4.0, 25.0, 0, 0, 0.0, 1, 2, 100.0, 1.0, 0
1, 2325.0, 1.0, 2, 8.0, 4.0, 835.0, 1, 0, 0.0, 0, 1, 300.0, 1.0, 1
0, 2008.0, 125.0, 2, 11.0, 4.0, 1.0, 0, 1, 1.0, 0, 2, 240.0, 769.0, 1
1, 3283.0, 25.0, 2, 13.0, 8.0, 275.0, 1, 1, 6.0, 0, 2, 160.0, 2073.0, 1
1, 1833.0, 121.0, 1, 10.0, 2.0, 0.0, 0, 0, 0.0, 0, 2, 100.0, 1.0, 0
1, 3233.0, 75.0, 2, 10.0, 5.0, 1585.0, 1, 0, 0.0, 1, 1, 420.0, 1.0, 0
1, 5183.0, 3.0, 1, 1.0, 1.0, 15.0, 0, 0, 0.0, 0, 2, 180.0, 5.0, 0
1, 3917.0, 171.0, 2, 14.0, 4.0, 125.0, 1, 1, 5.0, 1, 2, 480.0, 1.0, 1
1, 1817.0, 246.0, 2, 8.0, 7.0, 96.0, 0, 1, 2.0, 1, 2, 160.0, 588.0, 0
0, 49.0, 15.0, 2, 5.0, 3.0, 0.0, 1, 0, 0.0, 1, 2, 100.0, 28.0, 0
1, 2683.0, 54.0, 2, 4.0, 1.0, 0.0, 0, 0, 0.0, 0, 2, 100.0, 1.0, 0
0, 1575.0, 375.0, 2, 8.0, 4.0, 1.0, 0, 0, 0.0, 0, 2, 120.0, 19.0, 0
0, 245.0, 1275.0, 2, 8.0, 5.0, 475.0, 1, 1, 2.0, 0, 2, 73.0, 445.0, 1
1, 3817.0, 10125.0, 2, 14.0, 4.0, 25.0, 1, 1, 6.0, 0, 2, 520.0, 197.0, 1
1, 2183.0, 154.0, 2, 4.0, 4.0, 85.0, 0, 0, 0.0, 1, 2, 356.0, 1.0, 0
1, 2325.0, 4.0, 2, 8.0, 5.0, 25.0, 1, 0, 0.0, 1, 2, 160.0, 1.0, 1
1, 2358.0, 835.0, 2, 3.0, 8.0, 85.0, 0, 0, 0.0, 1, 2, 220.0, 6.0, 0
1, 2725.0, 625.0, 2, 6.0, 4.0, 455.0, 1, 0, 0.0, 1, 2, 200.0, 1.0, 0
1, 3242.0, 3.0, 2, 2.0, 4.0, 165.0, 0, 0, 0.0, 1, 2, 120.0, 1.0, 0
1, 1942.0, 15.0, 1, 13.0, 4.0, 2.0, 1, 0, 0.0, 1, 2, 100.0, 21.0, 0
1, 3992.0, 621.0, 2, 11.0, 4.0, 4.0, 1, 1, 1.0, 0, 2, 200.0, 301.0, 1
0, 2342.0, 79.0, 1, 11.0, 4.0, 15.0, 1, 1, 2.0, 1, 2, 80.0, 401.0, 1
0, 30.0, 529.0, 2, 10.0, 2.0, 225.0, 1, 1, 5.0, 1, 2, 99.0, 501.0, 1
0, 4033.0, 754.0, 1, 11.0, 8.0, 8.0, 1, 1, 14.0, 0, 2, 0.0, 2301.0, 1
0, 2517.0, 2875.0, 2, 14.0, 8.0, 875.0, 1, 0, 0.0, 0, 2, 360.0, 1.0, 1
1, 6775.0, 55.0, 2, 10.0, 9.0, 13.0, 1, 1, 1.0, 1, 2, 0.0, 1.0, 1
0, 3658.0, 29.0, 2, 1.0, 1.0, 0.0, 0, 1, 10.0, 0, 2, 200.0, 19.0, 0
1, 4483.0, 7.0, 1, 8.0, 4.0, 1625.0, 0, 0, 0.0, 0, 2, 160.0, 3.0, 0
1, 1625.0, 0.0, 1, 6.0, 4.0, 25.0, 0, 0, 0.0, 0, 2, 60.0, 1.0, 0
1, 2892.0, 15.0, 2, 8.0, 8.0, 5335.0, 1, 1, 11.0, 0, 2, 0.0, 2284.0, 1
0, 2717.0, 125.0, 2, 1.0, 1.0, 0.0, 0, 1, 1.0, 0, 2, 92.0, 301.0, 0
0, 2292.0, 125.0, 2, 11.0, 4.0, 25.0, 0, 0, 0.0, 1, 2, 120.0, 810.0, 0
0, 3325.0, 3.0, 1, 6.0, 4.0, 2.0, 0, 0, 0.0, 0, 2, 180.0, 1.0, 0
1, 3242.0, 2165.0, 1, 4.0, 1.0, 0.0, 0, 0, 0.0, 0, 2, 120.0, 1.0, 0
0, 3025.0, 55.0, 2, 4.0, 4.0, 55.0, 0, 0, 0.0, 1, 1, 100.0, 1.0, 0
0, 2458.0, 67.0, 2, 6.0, 8.0, 175.0, 1, 0, 0.0, 0, 2, 400.0, 1.0, 0
1, 2317.0, 11125.0, 2, 14.0, 8.0, 46.0, 1, 1, 1.0, 0, 2, 100.0, 1.0, 1
1, 42.0, 205.0, 2, 3.0, 8.0, 5125.0, 1, 0, 0.0, 0, 2, 400.0, 1.0, 1
1, 2592.0, 875.0, 2, 4.0, 4.0, 375.0, 0, 1, 2.0, 1, 2, 174.0, 4.0, 0
0, 6517.0, 14.0, 2, 1.0, 1.0, 0.0, 1, 1, 11.0, 1, 2, 0.0, 1401.0, 1
1, 3225.0, 14.0, 1, 1.0, 1.0, 0.0, 0, 1, 2.0, 0, 2, 160.0, 2.0, 0
1, 3358.0, 335.0, 1, 13.0, 4.0, 85.0, 0, 0, 0.0, 0, 2, 180.0, 1.0, 0
