@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
1, 2017.0, 817.0, 2, 6, 4, 196.0, 1, 1, 14, 0, 2, 60, 159, 1
1, 335.0, 175.0, 2, 14, 8, 45.0, 1, 1, 4, 1, 2, 253, 858, 1
0, 2817.0, 585.0, 2, 6, 4, 4.0, 0, 0, 0, 0, 2, 260, 1005, 0
1, 2308.0, 25.0, 2, 8, 4, 1085.0, 1, 1, 11, 1, 2, 60, 2185, 1
0, 5283.0, 15.0, 2, 8, 4, 55.0, 1, 1, 14, 0, 2, 0, 2201, 1
1, 3233.0, 35.0, 2, 4, 4, 5.0, 0, 0, 0, 1, 2, 232, 1, 0
1, 2817.0, 125.0, 1, 4, 4, 85.0, 0, 0, 0, 0, 2, 216, 2101, 0
1, 2825.0, 504.0, 1, 8, 5, 15.0, 1, 1, 8, 1, 2, 144, 8, 1
0, 1858.0, 10.0, 2, 2, 4, 415.0, 0, 0, 0, 0, 2, 80, 43, 0
0, 3908.0, 4.0, 2, 8, 4, 3.0, 0, 0, 0, 0, 2, 480, 1, 0
1, 3358.0, 25.0, 2, 3, 5, 4.0, 0, 0, 0, 1, 1, 420, 1, 0
0, 2075.0, 10335.0, 2, 13, 8, 335.0, 1, 1, 1, 1, 2, 80, 51, 1
1, 2067.0, 835.0, 1, 8, 4, 2.0, 0, 0, 0, 1, 1, 240, 1, 0
0, 5833.0, 10.0, 2, 11, 4, 4.0, 1, 1, 14, 0, 2, 0, 1603, 1
0, 2475.0, 125.0, 2, 6, 4, 15.0, 1, 1, 12, 1, 2, 120, 568, 1
1, 1917.0, 0.0, 1, 7, 5, 0.0, 0, 0, 0, 1, 1, 500, 2, 1
1, 4275.0, 3.0, 2, 3, 5, 1.0, 1, 0, 0, 0, 2, 0, 201, 0
1, 1825.0, 165.0, 2, 2, 4, 25.0, 0, 0, 0, 1, 1, 280, 1, 0
0, 2767.0, 15.0, 2, 7, 4, 2.0, 1, 0, 0, 0, 1, 368, 1, 0
