@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
0, 2167.0, 115.0, 1, 5, 3, 0.0, 1, 1, 11, 1, 2, 0, 1, 1
0, 5575.0, 708.0, 2, 4, 8, 675.0, 1, 1, 3, 1, 2, 100, 51, 0
1, 3492.0, 5.0, 2, 14, 8, 75.0, 1, 1, 6, 1, 2, 0, 1001, 1
1, 3958.0, 13915.0, 2, 9, 4, 8625.0, 1, 1, 6, 1, 2, 70, 1, 1
1, 2317.0, 0.0, 2, 13, 4, 85.0, 1, 0, 0, 0, 2, 0, 1, 1
1, 2675.0, 1125.0, 2, 14, 8, 125.0, 1, 0, 0, 0, 2, 0, 5299, 1
1, 2375.0, 415.0, 1, 8, 4, 4.0, 0, 1, 2, 0, 2, 128, 7, 0
1, 3125.0, 2835.0, 2, 1, 1, 0.0, 0, 1, 5, 0, 2, 176, 147, 0
1, 2725.0, 1585.0, 2, 13, 8, 1835.0, 1, 1, 12, 1, 2, 583, 714, 1
0, 3042.0, 1375.0, 2, 9, 8, 4.0, 0, 1, 3, 0, 2, 0, 34, 0
1, 3408.0, 8.0, 1, 7, 5, 4.0, 1, 1, 1, 1, 2, 280, 2001, 1
1, 4875.0, 85.0, 2, 8, 8, 125.0, 1, 1, 9, 0, 2, 181, 1656, 1
0, 3125.0, 375.0, 2, 13, 8, 625.0, 1, 1, 9, 1, 2, 181, 1, 1
1, 21.0, 3.0, 1, 2, 4, 1085.0, 1, 1, 8, 1, 2, 160, 2, 1
1, 2575.0, 5.0, 2, 8, 4, 146.0, 1, 1, 5, 1, 2, 312, 1, 1
1, 1967.0, 10.0, 1, 4, 8, 835.0, 1, 0, 0, 1, 2, 140, 1, 0
0, 165.0, 125.0, 2, 11, 4, 25.0, 0, 1, 1, 0, 2, 108, 99, 0
1, 7675.0, 2229.0, 2, 10, 9, 1275.0, 1, 1, 1, 1, 2, 0, 110, 1
0, 3375.0, 75.0, 2, 4, 5, 1.0, 1, 1, 3, 1, 2, 212, 1, 0
1, 1725.0, 3.0, 2, 4, 4, 4.0, 0, 0, 0, 1, 2, 160, 41, 0
1, 25.0, 12.0, 2, 4, 4, 225.0, 1, 1, 2, 1, 2, 120, 6, 0
