@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
1, 27.0, 75.0, 2, 8, 8, 425.0, 1, 1, 3, 1, 2, 312, 151, 1
1, 2308.0, 115.0, 2, 9, 8, 2125.0, 1, 1, 11, 1, 2, 290, 285, 1
1, 4875.0, 26335.0, 1, 1, 1, 0.0, 1, 0, 0, 1, 2, 0, 1, 0
1, 4025.0, 215.0, 2, 10, 9, 20.0, 1, 1, 11, 0, 2, 0, 1201, 1
1, 3992.0, 5.0, 2, 3, 5, 21.0, 0, 0, 0, 0, 2, 550, 1, 0
1, 2767.0, 2.0, 2, 14, 8, 1.0, 1, 1, 4, 0, 2, 140, 7545, 1
0, 3875.0, 15.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 76, 1, 0
0, 265.0, 271.0, 1, 8, 4, 85.0, 0, 0, 0, 0, 1, 80, 1, 0
1, 2317.0, 0.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 3, 184, 1, 1
1, 1883.0, 415.0, 1, 8, 4, 165.0, 0, 1, 1, 0, 2, 200, 2, 0
1, 2267.0, 75.0, 2, 3, 4, 1585.0, 0, 1, 1, 1, 2, 400, 10, 0
1, 4217.0, 504.0, 2, 11, 8, 1275.0, 1, 0, 0, 1, 2, 92, 1, 1
1, 2342.0, 585.0, 2, 8, 8, 85.0, 1, 0, 0, 0, 2, 180, 1, 0
1, 3083.0, 0.0, 2, 9, 4, 125.0, 1, 1, 1, 0, 2, 202, 1, 1
1, 4092.0, 5.0, 1, 7, 4, 5.0, 0, 0, 0, 1, 2, 130, 1, 0
1, 20.0, 7.0, 2, 8, 4, 5.0, 0, 0, 0, 0, 2, 0, 1, 0
0, 2067.0, 3.0, 2, 11, 4, 165.0, 1, 1, 3, 0, 2, 100, 7, 1
1, 3633.0, 2125.0, 1, 9, 4, 85.0, 1, 1, 1, 0, 2, 50, 1188, 1
1, 2217.0, 12125.0, 2, 8, 4, 3335.0, 0, 1, 2, 1, 2, 180, 174, 0
1, 1833.0, 121.0, 1, 10, 2, 0.0, 0, 0, 0, 0, 2, 100, 1, 0
1, 5183.0, 3.0, 1, 1, 1, 15.0, 0, 0, 0, 0, 2, 180, 5, 0
1, 3917.0, 171.0, 2, 14, 4, 125.0, 1, 1, 5, 1, 2, 480, 1, 1
0, 49.0, 15.0, 2, 5, 3, 0.0, 1, 0, 0, 1, 2, 100, 28, 0
1, 2683.0, 54.0, 2, 4, 1, 0.0, 0, 0, 0, 0, 2, 100, 1, 0
0, 1575.0, 375.0, 2, 8, 4, 1.0, 0, 0, 0, 0, 2, 120, 19, 0
1, 2183.0, 154.0, 2, 4, 4, 85.0, 0, 0, 0, 1, 2, 356, 1, 0
1, 3242.0, 3.0, 2, 2, 4, 165.0, 0, 0, 0, 1, 2, 120, 1, 0
1, 1942.0, 15.0, 1, 13, 4, 2.0, 1, 0, 0, 1, 2, 100, 21, 0
0, 2342.0, 79.0, 1, 11, 4, 15.0, 1, 1, 2, 1, 2, 80, 401, 1
0, 4033.0, 754.0, 1, 11, 8, 8.0, 1, 1, 14, 0, 2, 0, 2301, 1
0, 2517.0, 2875.0, 2, 14, 8, 875.0, 1, 0, 0, 0, 2, 360, 1, 1
1, 6775.0, 55.0, 2, 10, 9, 13.0, 1, 1, 1, 1, 2, 0, 1, 1
0, 3658.0, 29.0, 2, 1, 1, 0.0, 0, 1, 10, 0, 2, 200, 19, 0
1, 2892.0, 15.0, 2, 8, 8, 5335.0, 1, 1, 11, 0, 2, 0, 2284, 1
0, 2717.0, 125.0, 2, 1, 1, 0.0, 0, 1, 1, 0, 2, 92, 301, 0
0, 3325.0, 3.0, 1, 6, 4, 2.0, 0, 0, 0, 0, 2, 180, 1, 0
1, 3242.0, 2165.0, 1, 4, 1, 0.0, 0, 0, 0, 0, 2, 120, 1, 0
0, 3025.0, 55.0, 2, 4, 4, 55.0, 0, 0, 0, 1, 1, 100, 1, 0
1, 3358.0, 335.0, 1, 13, 4, 85.0, 0, 0, 0, 0, 2, 180, 1, 0
1, 2667.0, 175.0, 1, 8, 4, 1.0, 1, 1, 5, 1, 2, 160, 5778, 1
1, 5133.0, 10.0, 2, 3, 5, 0.0, 1, 1, 11, 0, 2, 0, 1250, 1
1, 2758.0, 204.0, 1, 6, 4, 2.0, 1, 1, 3, 1, 2, 370, 561, 1
0, 3367.0, 375.0, 2, 13, 4, 375.0, 0, 0, 0, 0, 2, 300, 45, 1
1, 1933.0, 95.0, 2, 11, 4, 1.0, 1, 0, 0, 1, 2, 60, 401, 1
0, 4583.0, 105.0, 2, 11, 4, 5.0, 1, 1, 7, 1, 2, 0, 1, 1
0, 2267.0, 335.0, 2, 11, 4, 75.0, 0, 0, 0, 0, 1, 160, 1, 0
1, 3467.0, 108.0, 2, 7, 4, 1165.0, 0, 0, 0, 0, 1, 28, 1, 0
1, 2967.0, 1415.0, 2, 9, 8, 75.0, 1, 1, 1, 0, 2, 240, 101, 1
1, 1917.0, 4.0, 1, 3, 4, 1.0, 0, 0, 0, 1, 2, 360, 1001, 0
0, 4133.0, 1.0, 2, 3, 5, 225.0, 1, 0, 0, 1, 2, 0, 301, 1
1, 3167.0, 83.0, 2, 14, 4, 1335.0, 1, 1, 8, 1, 2, 303, 3291, 1
1, 2983.0, 204.0, 1, 14, 8, 4.0, 0, 0, 0, 0, 2, 128, 2, 0
1, 3608.0, 254.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 0, 1001, 0
1, 2258.0, 1004.0, 2, 14, 4, 4.0, 1, 1, 9, 0, 2, 60, 397, 1
1, 395.0, 425.0, 2, 8, 5, 65.0, 1, 1, 16, 0, 2, 117, 1211, 1
0, 2008.0, 125.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 2, 0, 1, 0
1, 2692.0, 225.0, 2, 3, 5, 5.0, 0, 0, 0, 1, 2, 640, 4001, 0
1, 2167.0, 1165.0, 1, 4, 4, 25.0, 1, 1, 1, 0, 2, 180, 21, 0
1, 2875.0, 15.0, 1, 8, 4, 15.0, 1, 0, 0, 1, 2, 0, 226, 0
0, 1767.0, 0.0, 1, 5, 1, 0.0, 0, 0, 0, 0, 2, 86, 1, 0
1, 2392.0, 665.0, 2, 8, 4, 165.0, 0, 0, 0, 0, 2, 100, 1, 1
0, 225.0, 415.0, 2, 3, 4, 335.0, 0, 0, 0, 1, 1, 144, 1, 0
1, 3992.0, 54.0, 1, 6, 4, 5.0, 1, 1, 3, 0, 2, 200, 1001, 1
1, 2442.0, 12335.0, 2, 11, 8, 1585.0, 1, 0, 0, 1, 2, 120, 1, 1
0, 2275.0, 6165.0, 2, 6, 4, 165.0, 0, 0, 0, 0, 2, 220, 1001, 0
1, 2117.0, 0.0, 2, 8, 4, 5.0, 0, 0, 0, 1, 1, 0, 1, 0
0, 2292.0, 11585.0, 2, 13, 4, 4.0, 1, 0, 0, 0, 2, 80, 1350, 1
0, 4817.0, 1335.0, 2, 3, 7, 335.0, 0, 0, 0, 0, 2, 0, 121, 0
1, 41.0, 4.0, 2, 10, 4, 4.0, 0, 1, 1, 0, 1, 560, 1, 1
