@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
0, 5867.0, 446.0, 2, 11.0, 8.0, 304.0, 1, 1, 6.0, 0, 2, 43.0, 561.0, 1
1, 4142.0, 5.0, 2, 11.0, 8.0, 5.0, 1, 1, 6.0, 1, 2, 470.0, 1.0, 1
1, 2067.0, 125.0, 1, 8.0, 8.0, 1375.0, 1, 1, 3.0, 1, 2, 140.0, 211.0, 0
1, 5858.0, 271.0, 2, 8.0, 4.0, 2415.0, 0, 0, 0.0, 1, 2, 320.0, 1.0, 0
1, 2958.0, 45.0, 2, 9.0, 4.0, 75.0, 1, 1, 2.0, 1, 2, 330.0, 1.0, 1
1, 195.0, 9585.0, 2, 6.0, 4.0, 79.0, 0, 0, 0.0, 0, 2, 80.0, 351.0, 0
0, 2042.0, 105.0, 1, 14.0, 8.0, 0.0, 0, 0, 0.0, 1, 2, 154.0, 33.0, 0
1, 5233.0, 1375.0, 1, 8.0, 8.0, 946.0, 1, 0, 0.0, 1, 2, 200.0, 101.0, 0
1, 25.0, 125.0, 2, 6.0, 4.0, 3.0, 1, 0, 0.0, 1, 1, 20.0, 1.0, 1
1, 6333.0, 54.0, 2, 8.0, 4.0, 585.0, 1, 1, 3.0, 1, 2, 180.0, 1.0, 0
0, 295.0, 2.0, 1, 10.0, 8.0, 2.0, 0, 0, 0.0, 0, 2, 256.0, 18.0, 0
1, 19.0, 175.0, 1, 8.0, 4.0, 2335.0, 0, 0, 0.0, 1, 2, 112.0, 7.0, 0
1, 2783.0, 15.0, 2, 9.0, 4.0, 2.0, 1, 1, 11.0, 1, 2, 434.0, 36.0, 1
