@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
0, 5867.0, 446.0, 2, 11, 8, 304.0, 1, 1, 6, 0, 2, 43, 561, 1
1, 4142.0, 5.0, 2, 11, 8, 5.0, 1, 1, 6, 1, 2, 470, 1, 1
1, 2067.0, 125.0, 1, 8, 8, 1375.0, 1, 1, 3, 1, 2, 140, 211, 0
1, 5858.0, 271.0, 2, 8, 4, 2415.0, 0, 0, 0, 1, 2, 320, 1, 0
1, 2958.0, 45.0, 2, 9, 4, 75.0, 1, 1, 2, 1, 2, 330, 1, 1
1, 195.0, 9585.0, 2, 6, 4, 79.0, 0, 0, 0, 0, 2, 80, 351, 0
1, 19.0, 175.0, 1, 8, 4, 2335.0, 0, 0, 0, 1, 2, 112, 7, 0
1, 2783.0, 15.0, 2, 9, 4, 2.0, 1, 1, 11, 1, 2, 434, 36, 1
1, 365.0, 425.0, 2, 11, 4, 35.0, 0, 0, 0, 0, 2, 454, 51, 0
0, 2475.0, 13665.0, 2, 11, 8, 15.0, 0, 0, 0, 0, 2, 280, 2, 0
0, 4983.0, 13585.0, 2, 4, 8, 85.0, 1, 0, 0, 1, 2, 0, 1, 1
1, 2783.0, 4.0, 1, 3, 8, 575.0, 1, 1, 2, 1, 2, 75, 1, 0
1, 3317.0, 1.0, 2, 14, 4, 75.0, 1, 1, 7, 1, 2, 340, 4072, 1
0, 46.0, 4.0, 2, 5, 3, 0.0, 1, 0, 0, 0, 2, 100, 961, 1
1, 4092.0, 835.0, 2, 1, 1, 0.0, 1, 0, 0, 0, 2, 130, 2, 0
1, 3925.0, 95.0, 2, 7, 4, 65.0, 1, 1, 14, 0, 2, 240, 4608, 1
1, 525.0, 65.0, 2, 4, 4, 629.0, 1, 1, 15, 0, 2, 0, 11203, 1
0, 225.0, 846.0, 1, 14, 4, 246.0, 0, 0, 0, 0, 2, 164, 1, 1
1, 1792.0, 205.0, 2, 6, 4, 4.0, 0, 0, 0, 0, 2, 280, 751, 0
1, 3067.0, 25.0, 2, 13, 8, 225.0, 0, 0, 0, 1, 1, 340, 1, 0
1, 3717.0, 4.0, 2, 8, 5, 5.0, 1, 0, 0, 1, 1, 280, 1, 0
1, 3292.0, 25.0, 2, 6, 4, 175.0, 0, 1, 2, 1, 2, 720, 1, 0
0, 2033.0, 10.0, 2, 8, 8, 1.0, 1, 1, 4, 0, 2, 50, 1466, 1
