@relation australian
@attribute A1 {0, 1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4 {1, 2, 3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8 {0, 1}
@attribute A9 {0, 1}
@attribute A10 integer[0,67]
@attribute A11 {0, 1}
@attribute A12 {1, 2, 3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class {0,1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14
@output Class
@data
1, 2208.0, 1146.0, 2, 4.0, 4.0, 1585.0, 0, 0, 0.0, 1, 2, 100.0, 1213.0, 0
0, 2267.0, 7.0, 2, 8.0, 4.0, 165.0, 0, 0, 0.0, 0, 2, 160.0, 1.0, 0
1, 2017.0, 817.0, 2, 6.0, 4.0, 196.0, 1, 1, 14.0, 0, 2, 60.0, 159.0, 1
0, 1583.0, 585.0, 2, 8.0, 8.0, 15.0, 1, 1, 2.0, 0, 2, 100.0, 1.0, 1
1, 335.0, 175.0, 2, 14.0, 8.0, 45.0, 1, 1, 4.0, 1, 2, 253.0, 858.0, 1
1, 20.0, 125.0, 1, 4.0, 4.0, 125.0, 0, 0, 0.0, 0, 2, 140.0, 5.0, 0
0, 2242.0, 5665.0, 2, 11.0, 4.0, 2585.0, 1, 1, 7.0, 0, 2, 129.0, 3258.0, 1
0, 2817.0, 585.0, 2, 6.0, 4.0, 4.0, 0, 0, 0.0, 0, 2, 260.0, 1005.0, 0
1, 3275.0, 15.0, 2, 13.0, 8.0, 55.0, 1, 1, 3.0, 1, 2, 0.0, 1.0, 1
0, 3067.0, 12.0, 2, 8.0, 4.0, 2.0, 1, 1, 1.0, 0, 2, 220.0, 20.0, 1
1, 2308.0, 25.0, 2, 8.0, 4.0, 1085.0, 1, 1, 11.0, 1, 2, 60.0, 2185.0, 1
0, 5283.0, 15.0, 2, 8.0, 4.0, 55.0, 1, 1, 14.0, 0, 2, 0.0, 2201.0, 1
1, 3233.0, 35.0, 2, 4.0, 4.0, 5.0, 0, 0, 0.0, 1, 2, 232.0, 1.0, 0
1, 2817.0, 125.0, 1, 4.0, 4.0, 85.0, 0, 0, 0.0, 0, 2, 216.0, 2101.0, 0
1, 2758.0, 325.0, 1, 11.0, 8.0, 5085.0, 0, 1, 2.0, 1, 2, 369.0, 2.0, 0
0, 2375.0, 71.0, 2, 9.0, 4.0, 25.0, 0, 1, 1.0, 1, 2, 240.0, 5.0, 0
1, 2825.0, 504.0, 1, 8.0, 5.0, 15.0, 1, 1, 8.0, 1, 2, 144.0, 8.0, 1
0, 1858.0, 10.0, 2, 2.0, 4.0, 415.0, 0, 0, 0.0, 0, 2, 80.0, 43.0, 0
1, 3758.0, 0.0, 2, 8.0, 4.0, 0.0, 0, 0, 0.0, 0, 3, 184.0, 1.0, 1
1, 3625.0, 5.0, 2, 8.0, 5.0, 25.0, 1, 1, 6.0, 0, 2, 0.0, 368.0, 1
1, 2125.0, 15.0, 2, 9.0, 4.0, 15.0, 0, 0, 0.0, 0, 2, 150.0, 9.0, 1
0, 3908.0, 4.0, 2, 8.0, 4.0, 3.0, 0, 0, 0.0, 0, 2, 480.0, 1.0, 0
1, 2775.0, 585.0, 1, 13.0, 4.0, 25.0, 1, 1, 2.0, 0, 2, 260.0, 501.0, 1
1, 19.0, 0.0, 1, 1.0, 1.0, 0.0, 0, 1, 4.0, 0, 2, 45.0, 2.0, 0
1, 4733.0, 65.0, 2, 8.0, 4.0, 1.0, 0, 0, 0.0, 1, 2, 0.0, 229.0, 0
1, 3358.0, 25.0, 2, 3.0, 5.0, 4.0, 0, 0, 0.0, 1, 1, 420.0, 1.0, 0
0, 2075.0, 10335.0, 2, 13.0, 8.0, 335.0, 1, 1, 1.0, 1, 2, 80.0, 51.0, 1
1, 2067.0, 835.0, 1, 8.0, 4.0, 2.0, 0, 0, 0.0, 1, 1, 240.0, 1.0, 0
1, 22.0, 79.0, 2, 9.0, 4.0, 29.0, 0, 1, 1.0, 0, 2, 420.0, 284.0, 0
0, 5833.0, 10.0, 2, 11.0, 4.0, 4.0, 1, 1, 14.0, 0, 2, 0.0, 1603.0, 1
0, 2475.0, 125.0, 2, 6.0, 4.0, 15.0, 1, 1, 12.0, 1, 2, 120.0, 568.0, 1
1, 4517.0, 15.0, 2, 8.0, 4.0, 25.0, 1, 0, 0.0, 1, 2, 140.0, 1.0, 0
1, 1917.0, 0.0, 1, 7.0, 5.0, 0.0, 0, 0, 0.0, 1, 1, 500.0, 2.0, 1
1, 2267.0, 1585.0, 1, 9.0, 4.0, 3085.0, 1, 1, 6.0, 0, 2, 80.0, 1.0, 1
1, 4783.0, 4165.0, 2, 14.0, 5.0, 85.0, 0, 0, 0.0, 1, 2, 520.0, 1.0, 0
1, 4275.0, 3.0, 2, 3.0, 5.0, 1.0, 1, 0, 0.0, 0, 2, 0.0, 201.0, 0
1, 1825.0, 165.0, 2, 2.0, 4.0, 25.0, 0, 0, 0.0, 1, 1, 280.0, 1.0, 0
1, 2308.0, 25.0, 2, 1.0, 1.0, 85.0, 0, 0, 0.0, 1, 2, 100.0, 4209.0, 0
0, 2767.0, 15.0, 2, 7.0, 4.0, 2.0, 1, 0, 0.0, 0, 1, 368.0, 1.0, 0
0, 1892.0, 925.0, 1, 8.0, 4.0, 1.0, 1, 1, 4.0, 1, 2, 80.0, 501.0, 1
1, 4117.0, 125.0, 1, 9.0, 4.0, 25.0, 0, 0, 0.0, 0, 2, 0.0, 196.0, 0
1, 2433.0, 6625.0, 1, 2.0, 4.0, 55.0, 1, 0, 0.0, 1, 1, 100.0, 1.0, 1
0, 23.0, 1835.0, 2, 5.0, 3.0, 0.0, 0, 1, 1.0, 0, 2, 200.0, 54.0, 0
1, 25.0, 1125.0, 2, 8.0, 4.0, 25.0, 1, 1, 17.0, 0, 2, 200.0, 1209.0, 1
0, 1608.0, 335.0, 2, 1.0, 1.0, 0.0, 0, 1, 1.0, 0, 2, 160.0, 127.0, 0
1, 3317.0, 104.0, 2, 12.0, 8.0, 65.0, 1, 0, 0.0, 1, 2, 164.0, 31286.0, 1
1, 2075.0, 5085.0, 1, 5.0, 4.0, 29.0, 0, 0, 0.0, 0, 2, 140.0, 185.0, 0
0, 4033.0, 8125.0, 1, 4.0, 4.0, 165.0, 0, 1, 2.0, 0, 2, 184.0, 19.0, 0
1, 5442.0, 5.0, 1, 4.0, 8.0, 396.0, 1, 0, 0.0, 0, 2, 180.0, 315.0, 1
1, 34.0, 55.0, 1, 8.0, 4.0, 15.0, 0, 0, 0.0, 1, 2, 60.0, 1.0, 0
1, 3367.0, 2165.0, 2, 8.0, 4.0, 15.0, 0, 0, 0.0, 0, 3, 120.0, 1.0, 0
1, 4317.0, 225.0, 2, 3.0, 5.0, 75.0, 1, 0, 0.0, 0, 2, 560.0, 1.0, 0
1, 2025.0, 996.0, 2, 10.0, 2.0, 0.0, 1, 0, 0.0, 0, 2, 0.0, 1.0, 1
1, 4092.0, 225.0, 1, 14.0, 8.0, 10.0, 1, 0, 0.0, 1, 2, 176.0, 1.0, 0
0, 2433.0, 25.0, 1, 3.0, 5.0, 45.0, 0, 0, 0.0, 0, 2, 200.0, 457.0, 0
1, 495.0, 7585.0, 2, 3.0, 5.0, 7585.0, 1, 1, 15.0, 1, 2, 0.0, 5001.0, 1
1, 6008.0, 145.0, 2, 1.0, 1.0, 18.0, 1, 1, 15.0, 1, 2, 0.0, 1001.0, 1
1, 415.0, 154.0, 2, 3.0, 5.0, 35.0, 0, 0, 0.0, 0, 2, 216.0, 1.0, 1
1, 3367.0, 125.0, 2, 9.0, 4.0, 1165.0, 0, 0, 0.0, 0, 2, 120.0, 1.0, 0
1, 2042.0, 1835.0, 2, 8.0, 4.0, 225.0, 1, 1, 1.0, 0, 2, 100.0, 151.0, 1
1, 23.0, 75.0, 2, 7.0, 4.0, 5.0, 0, 0, 0.0, 1, 1, 320.0, 1.0, 0
0, 2858.0, 375.0, 2, 8.0, 4.0, 25.0, 0, 1, 1.0, 1, 2, 40.0, 155.0, 0
1, 3417.0, 154.0, 2, 13.0, 4.0, 154.0, 1, 1, 1.0, 1, 2, 520.0, 50001.0, 1
1, 35.0, 25.0, 2, 3.0, 4.0, 1.0, 0, 0, 0.0, 1, 2, 210.0, 1.0, 0
1, 165.0, 125.0, 2, 8.0, 4.0, 165.0, 0, 0, 0.0, 0, 2, 132.0, 1.0, 0
1, 2233.0, 11.0, 2, 9.0, 4.0, 2.0, 1, 1, 1.0, 0, 2, 80.0, 279.0, 1
0, 5708.0, 335.0, 2, 3.0, 5.0, 1.0, 1, 0, 0.0, 1, 2, 252.0, 2198.0, 0
1, 1625.0, 835.0, 2, 7.0, 4.0, 85.0, 1, 0, 0.0, 0, 1, 200.0, 1.0, 0
1, 3425.0, 3.0, 2, 13.0, 8.0, 7415.0, 1, 0, 0.0, 1, 2, 0.0, 1.0, 1
1, 20.0, 11045.0, 2, 8.0, 4.0, 2.0, 0, 0, 0.0, 1, 2, 136.0, 1.0, 0
1, 1858.0, 571.0, 2, 2.0, 4.0, 54.0, 0, 0, 0.0, 0, 2, 120.0, 1.0, 0
